average,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,average,average,average,average,average,average,average,average,average,average,average,nan,nan,nan,nan
test_code,,1B,1R1,1R2,2B,2R,3B,3R1,3R2,4R,5B,5R,,,,
time,#units:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CO_ER_min,g/min,1.567,1.299,0.846,4.126,2.007,3.685,2,0.791,1.091,0.757,0.549,1.702,nan,nan,nan
CO2_ER_min,g/min,41.152,52.574,52.16,78.022,,30.966,,,48.516,28.988,24.581,44.62,nan,nan,nan
PM_ER_min,g/min,0.032,0.039,0.01,0.35,0.008,0.262,0.036,0.016,0.008,0.014,0.013,0.072,nan,nan,nan
CO_ER_hr,g/hr,94.004,77.927,50.738,247.533,120.433,221.099,119.976,47.452,65.44,45.445,32.966,102.092,nan,nan,nan
CO2_ER_hr,g/hr,2469.119,3154.454,3129.618,4681.334,,1857.976,,,2910.968,1739.278,1474.874,2677.203,nan,nan,nan
PM_ER_hr,g/hr,1.921,2.338,0.578,21.015,0.452,15.736,2.147,0.987,0.499,0.843,0.797,4.301,nan,nan,nan
CO_EF,g/kg_C,219.59,134.146,132.023,200.035,170.021,328.487,105.77,146.388,127.369,89.813,57.596,155.567,nan,nan,nan
CO2_EF,g/kg_C,3248.29,3348.47,3416.356,3324.478,,2978.457,,,3451.465,3329.222,3523.536,3327.534,nan,nan,nan
PM_EF,g/kg_C,3.09,3.328,0.739,18.9,0.606,15.248,1.761,0.308,0.652,1.588,1.23,4.314,nan,nan,nan
firepower_carbon,W,7738.687,9486.039,9253.497,14589.433,8050.85,6714.366,15676.995,6677.272,8661.977,5458.278,4484.898,8799.299,nan,nan,nan
CO_totmass,g,208.743,173.369,127.762,296.537,115.693,1561.127,170.179,124.996,145.444,223.565,159.135,300.595,nan,nan,nan
CO2_totmass,g,4403.517,5443.399,4449.445,4158.79,,10792.901,,,5160.483,3530.258,3819.575,5219.796,nan,nan,nan
PitotVel,,1.63,,,2.34,,4.421,,1.605,,,1.429,2.285,nan,nan,nan
StackDensity,,953.089,,789.804,750.684,,972.996,,762.066,nan,971.343,1055.921,893.7,nan,nan,nan
Re,,12761.848,,,,,,,,,,13883.402,13322.625,nan,nan,nan
Viscocity,,0,,,,,,,,,,0,0,nan,nan,nan
Cprofile,,0.809,,,,,,,,,,0.811,0.81,nan,nan,nan
StackFlow,,0.024,,,0.034,,0.065,,0.023,,,0.021,0.033,nan,nan,nan
MassFlow,,22.519,,,25.553,,62.63,,18.109,,,22.306,30.223,nan,nan,nan
EnergyFlow,,1438.911,,,3957.477,,3238.529,,2810.053,,,523.848,2393.764,nan,nan,nan
StackUsefulpower,,4842.28,,,12577.942,,3369.288,,3684.499,,,3582.284,5611.259,nan,nan,nan
StackThermalEfficiency,,80.139,,,75.96,,49.926,,56.7,,,86.02,69.749,nan,nan,nan
PM_totmass,g,11.194,13.331,4.284,44.686,1.075,119.961,8.983,8.238,1.985,3.806,3.951,20.136,nan,nan,nan
File Index,,1,,,1,,,,,,,1,1,nan,nan,nan
Sample #,,260.5,,,233,,,,,,,150,214.5,nan,nan,nan
11.5,,229.808,,,1671.118,,,,,,,112.946,671.291,nan,nan,nan
15.4,,228.671,,,5488.003,,,,,,,311.42,2009.365,nan,nan,nan
20.5,,357.014,,,12309.819,,,,,,,484.292,4383.708,nan,nan,nan
27.4,,1491.138,,,26680.746,,,,,,,897.156,9689.68,nan,nan,nan
36.5,,2973.584,,,33951.174,,,,,,,1106.784,12677.181,nan,nan,nan
48.7,,5128.421,,,34509.607,,,,,,,1204.463,13614.164,nan,nan,nan
64.9,,7063.713,,,31244.743,,,,,,,1290.409,13199.622,nan,nan,nan
86.6,,7758.091,,,27207.117,,,,,,,1382.67,12115.959,nan,nan,nan
115.5,,6726.519,,,20459.677,,,,,,,1300.835,9495.677,nan,nan,nan
154,,4243.555,,,10954.839,,,,,,,952.444,5383.613,nan,nan,nan
205.4,,1945.138,,,3001.834,,,,,,,457.007,1801.326,nan,nan,nan
273.8,,1069.252,,,1364.931,,,,,,,70.794,834.992,nan,nan,nan
365.2,,429.226,,,398.236,,,,,,,0.72,276.061,nan,nan,nan
Total Conc,,39644.129,,,209241.844,,,,,,,9571.941,86152.638,nan,nan,nan
Median (nm),,122.524,,,68.957,,,,,,,72.076,87.852,nan,nan,nan
Mean (nm),,127.21,,,77.108,,,,,,,83.885,96.068,nan,nan,nan
Geo Mean (nm),,111.561,,,65.514,,,,,,,67.716,81.597,nan,nan,nan
Mode (nm),,135.725,,,72.58,,,,,,,83.845,97.383,nan,nan,nan
GSD,,1.695,,,1.784,,,,,,,2.002,1.827,nan,nan,nan
Particle Density (g/cc),,1.2,,,1.2,,,,,,,1.2,1.2,nan,nan,nan
Firmware Version,,1.4,,,1.4,,,,,,,1.4,1.4,nan,nan,nan
ID,NAN,2668,4001,4001,4001,4001,4003,4001,4001,4001,3001.25,4001,3789.114,nan,nan,nan
PWM1,10_bit_PWM,121.957,162.807,,nan,81.131,,168.503,142.172,4.981,236.324,5.403,115.41,nan,nan,nan
PWM2,10_bit_PWM,198.186,1000,,nan,166.783,,261.147,142.185,81.672,nan,208.136,294.016,nan,nan,nan
Flow1,,17.416,999,14.621,-0.068,12.43,,26.885,17.745,0.741,,11.743,122.279,nan,nan,nan
Flow2,,5.599,999,,-0.102,23.3,,35.817,14.718,21.607,,58.554,144.812,nan,nan,nan
Flow3,,5.049,999,,,22.809,,34.434,13.011,0.034,,,179.056,nan,nan,nan
Flow4,,68.445,999,,,0.001,,38.769,nan,10.478,,,223.339,nan,nan,nan
Flow5,SLPM,500.016,999,,,4.526,,23.058,nan,462.99,34.693,,337.381,nan,nan,nan
Flow6,SLPM,499.969,999,,,26.411,,8.101,nan,476.837,52.244,,343.76,nan,nan,nan
Flow7,SLPM,999,,,,5.12,,108.773,22.593,469.592,-0.005,,267.512,nan,nan,nan
preCAT_T,degC,525.142,,,,,,,,,438.411,,481.777,nan,nan,nan
PostCAT_T,degC,618.639,,,,,,,,,416.313,,517.476,nan,nan,nan
diff_T,degC,173.872,,,,,,,,124.043,36.112,,111.342,nan,nan,nan
body_T,degC,406.919,,,,,,,,328.927,277.855,,337.9,nan,nan,nan
body_T threshold,degC,400,,,,,,,,400,400,,400,nan,nan,nan
snorkel_T threshold,degC,680,,,,,,,,668.13,680,,676.043,nan,nan,nan
deltaP1,Pa,-7.72,-0.02,15.409,-5.844,-16.907,,14.557,17.083,-13.845,0.047,7.066,0.983,nan,nan,nan
deltaP2,Pa,-7.092,-17.075,14.183,-19.284,-15.891,,2,17.086,-8.538,-11.056,-1.824,-4.749,nan,nan,nan
deltaP3,Pa,0.009,,,,,,,,-13.889,-8.464,,-7.448,nan,nan,nan
Lambda,Lambda,79.817,2.866,,4.269,4.142,,1.435,1.304,144.073,165.149,5.613,45.408,nan,nan,nan
Kp2,,4,2,,,,,,,,,,3,-50,8.825,-108.825
Ki2,,1.699,1,,,,,,,,,,1.349,-41.142,56.572,-138.856
Kd2,,2,nan,,,,,,,,,,2,nan,nan,nan
o2Setpoint,Lambda,125,,,,,,,,125,125,,125,nan,nan,nan
Scale1,Scale,42,42,42,42,42,,35.647,42,41.832,1,41.764,37.224,nan,nan,nan
Scale2,Scale,21.5,1,42,42,42,,30.641,42,4.727,42,6.205,27.407,nan,nan,nan
mode1,mode,1,1,,nan,2.216,,nan,1.989,0.045,1,0.092,1.049,nan,nan,nan
mode2,mode,2,2,,nan,1.114,,nan,1.989,4,nan,0.869,1.995,nan,nan,nan
state_press,state,1,1,,nan,,,,,0.045,1,0.843,0.778,nan,nan,nan
state_temp,state,nan,,,nan,,,,,4.028,nan,0.046,2.037,nan,nan,nan
prev_state_temp,state,nan,,,,,,,,3.412,1,,2.206,nan,nan,nan
Kp1,P,5,2,,,,,,,6,6,,4.75,nan,nan,nan
Ki1,I,0.875,1,,,,,,,0.5,0.5,,0.719,nan,nan,nan
Kd1,D,2,nan,,,,,,,2,2,,2,nan,nan,nan
Op,P,0.5,,,,,,4,6,4,0.5,,3,nan,nan,nan
Oi,I,0.04,,,,,,1,1,0.745,0.04,,0.565,nan,nan,nan
Od,D,0.05,,,,,,nan,0.81,0.601,0.05,,0.378,nan,nan,nan
press_offset,Pa,nan,nan,,5,,,,,-16.349,nan,-4.814,-5.388,nan,nan,nan
PRESSURE_T,Pa,-1,,,,,,,,-0.955,-1,,-0.985,nan,nan,nan
PRESSURE_D,Pa,nan,,,,,,,,-0.512,nan,,-0.512,nan,nan,nan
Tp,P,1.25,10.8,10.8,2,,,,,1.318,4.333,1.763,4.609,nan,nan,nan
Ti,I,0.025,0.58,0.58,0.01,,,,,0.038,0.03,0.014,0.182,nan,nan,nan
Td,D,0.05,nan,nan,nan,,,,,0.062,0.05,0.314,0.119,nan,nan,nan
temp_set,degC,500,,,500,,,,,581.995,550,459.465,518.292,nan,nan,nan
temp_set_start,degC,70,,,,,,,,639.204,46.063,,251.756,nan,nan,nan
temp_set_low,degC,380,,,,,,,,511.307,380,,423.769,nan,nan,nan
temp_control,val,7,nan,,nan,,,,,7.39,7,nan,7.13,nan,nan,nan
DelayTime,min,0.1,,,,,,,,14.994,0.1,,5.065,nan,nan,nan
cooledDown,flag,nan,,,,,,,,0.947,nan,,0.947,nan,nan,nan
PrimaryFlow,SLPM,28.065,5994,14.621,-0.17,113.424,,,81.421,82.992,86.932,72.46,719.305,nan,nan,nan
SecondaryFlow,SLPM,70.415,nan,nan,nan,nan,,,nan,18.744,nan,nan,44.58,nan,nan,nan
TotalFlow,SLPM,98.48,nan,14.621,-0.17,113.424,,249.203,81.421,91.912,86.932,62.978,88.756,nan,nan,nan
SenO2Percent,%,13.908,12.085,,15.694,15.576,,,4.516,20.805,20.821,16.867,15.034,nan,nan,nan
PWM3,,,960.215,,,175.213,,278.939,142.175,196.435,nan,,350.595,nan,nan,nan
Setpointt,,,404.237,363.136,,,,,,,,,383.687,nan,nan,nan
temp_auto,,,0.232,,,,,,,,,,0.232,nan,nan,nan
autoRoutineStage,,,2.47,,,,,,,,,,2.47,nan,nan,nan
autoTimeCounter,,,24.485,,,,,,,,,,24.485,nan,nan,nan
PWMl,,,,1170.131,,,,,,,,,1170.131,nan,nan,nan
PWMf,,,,71.236,,,,,,,,,71.236,nan,nan,nan
lambda,,,,161.499,,,,,,,,,161.499,nan,nan,nan
linmode,,,,0.478,,,,,,,,,0.478,nan,nan,nan
fanmode,,,,1.936,,,,,,,,,1.936,nan,nan,nan
linstate,,,,19.67,,,,,,,,,19.67,nan,nan,nan
fanstate,,,,3.615,,,,,,,,,3.615,nan,nan,nan
dampercount,,,,10.809,,,,,,,,,10.809,nan,nan,nan
stepcount,,,,3.079,,,,,,,,,3.079,nan,nan,nan
400count,,,,306.714,,,,,,,,,306.714,nan,nan,nan
500count,,,,37.184,,,,,,,,,37.184,nan,nan,nan
400timer,,,,0.916,,,,,,,,,0.916,nan,nan,nan
500timer,,,,0.875,,,,,,,,,0.875,nan,nan,nan
reload,,,,0,,0.143,,,,,,,0.071,nan,nan,nan
dooropen,,,,0.006,,,,,,,,,0.006,nan,nan,nan
pressurecounter,,,,0.208,,,,,,,,,0.208,nan,nan,nan
reloads,,,,7.327,,,,,,,,,7.327,nan,nan,nan
pot_val,,,,906.017,,,,,,,,,906.017,nan,nan,nan
powerlevel,,,,1.055,,,,,,,,,1.055,nan,nan,nan
load,,,,1,,,,,,,,,1,nan,nan,nan
auto,,,,1,,,,,,,,,1,nan,nan,nan
weight,,,,,12.639,300.644,,,10.232,11.741,,182.951,103.641,nan,nan,nan
tmoStatusCondition_0,,,,,10625684.02,,,,,,,,10625684.02,nan,nan,nan
tmoOperatingMode_0,,,,,4,,,,,,,,4,nan,nan,nan
tmoCaseHeatTemp_0,,,,,33.085,,,,,,,,33.085,nan,nan,nan
tmoCapHeatTemp_0,,,,,33.262,,,,,,,,33.262,nan,nan,nan
tmoTEOMAFlowMass_0,,,,,1.459,,,,,,,,1.459,nan,nan,nan
tmoTEOMAAirTubeHeatTemp_0,,,,,33.421,,,,,,,,33.421,nan,nan,nan
tmoTEOMAFilterLoad_0,,,,,8.407,,,,,,,,8.407,nan,nan,nan
tmoTEOMAFilterPressure_0,,,,,0.936,,,,,,,,0.936,nan,nan,nan
tmoTEOMANoise_0,,,,,2.667,,,,,,,,2.667,nan,nan,nan
tmoTEOMAFrequency_0,,,,,261.509,,,,,,,,261.509,nan,nan,nan
tmoTEOMBFlowMass_0,,,,,0.972,,,,,,,,0.972,nan,nan,nan
tmoTEOMBAirTubeHeatTemp_0,,,,,33.329,,,,,,,,33.329,nan,nan,nan
tmoTEOMBFilterLoad_0,,,,,5.372,,,,,,,,5.372,nan,nan,nan
tmoTEOMBFrequency_0,,,,,274.559,,,,,,,,274.559,nan,nan,nan
tmoTEOMBNoise_0,,,,,0.05,,,,,,,,0.05,nan,nan,nan
tmoVacPumpPressure_0,,,,,0.121,,,,,,,,0.121,nan,nan,nan
tmoTEOMAMCRaw_0,,,,,1958.686,,,,,,,,1958.686,nan,nan,nan
tmoTEOMBMCRaw_0,,,,,4.733,,,,,,,,4.733,nan,nan,nan
tmoTEOMATotalMass_0,,,,,-69.458,,,,,,,,-69.458,nan,nan,nan
tmoTEOMBTotalMass_0,,,,,16.927,,,,,,,,16.927,nan,nan,nan
Kp,,,,,2,3.25,,4,4.225,,,4.611,3.617,nan,nan,nan
