average,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,average,average,average,average,average,average,average,average,average,average,average,nan,nan,nan,nan
test_code,,1B,1R1,1R2,2B,2R,3B,3R1,3R2,4R,5B,5R,,,,
time,#units:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
tmoTEOMBMCRaw_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMATotalMass_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMBTotalMass_0,,,,,nan,,,,,,,,nan,nan,nan,nan
Kp,,,,,0,1.765,,0,2.53,,,4.171,1.693,nan,nan,nan
Ki,,,,,0,1.765,,0,0.229,,,0.285,0.456,nan,nan,nan
Kd,,,,,nan,nan,,nan,18.077,,,0.502,9.29,nan,nan,nan
Bin 1,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 2,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 3,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 4,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 5,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 6,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 7,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 8,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 9,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 10,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 11,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 12,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 13,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 14,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 15,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 16,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Bin 17,,,,,nan,,,,,,,nan,nan,nan,nan,nan
Deadtime (s),,,,,nan,,,,,,,nan,nan,nan,nan,nan
Temperature (C),,,,,nan,,,,,,,nan,nan,nan,nan,nan
Humidity (%),,,,,nan,,,,,,,nan,nan,nan,nan,nan
Ambient Pressure (kPa),,,,,nan,,,,,,,nan,nan,nan,nan,nan
GravFlo1,,,,,,0.001,0.013,0.007,0,0.09,,,0.022,nan,nan,nan
GravFlo2,,,,,,0.073,3.045,0.068,0.184,0.087,,,0.691,nan,nan,nan
VOC,,,,,,0.871,1.357,2.427,0.577,0.723,,,1.191,nan,nan,nan
CH4,,,,,,253.677,6853.841,246.632,445.058,122.561,,,1584.354,nan,nan,nan
CH4temp,,,,,,0.768,0.085,2.118,4.016,1.38,,,1.673,nan,nan,nan
Ctemp1,,,,,,0.867,0.464,2.271,3.655,1.316,,,1.715,nan,nan,nan
Ctemp2,,,,,,0.827,0.29,2.278,3.644,1.311,,,1.67,nan,nan,nan
Ctemp3,,,,,,0.801,0.183,2.298,3.655,1.307,,,1.649,nan,nan,nan
TC1,,,,,,4.171,64.958,nan,nan,nan,,,34.565,nan,nan,nan
TC2,,,,,,nan,1.585,nan,13.893,nan,,,7.739,nan,nan,nan
TC3,,,,,,nan,324.341,nan,nan,nan,,,324.341,nan,nan,nan
AmbTemp,,,,,,nan,1.299,nan,nan,nan,,,1.299,nan,nan,nan
AmbRH,,,,,,nan,19.345,nan,nan,nan,,,19.345,nan,nan,nan
AS1_415nm,,,,,,1.952,nan,0.839,0.685,nan,,,1.159,nan,nan,nan
AS1_445nm,,,,,,4.747,nan,3.164,1.393,nan,,,3.101,nan,nan,nan
AS1_480nm,,,,,,5.369,nan,3.668,1.596,nan,,,3.544,nan,nan,nan
AS1_515nm,,,,,,6.924,nan,5.076,2.142,nan,,,4.714,nan,nan,nan
AS1_555nm,,,,,,9.852,nan,7.092,2.935,nan,,,6.626,nan,nan,nan
AS1_590nm,,,,,,11.454,nan,7.859,3.302,nan,,,7.538,nan,nan,nan
AS1_630nm,,,,,,10.355,nan,7.075,3.092,nan,,,6.841,nan,nan,nan
AS1_680nm,,,,,,6.375,nan,4.381,2.287,nan,,,4.348,nan,nan,nan
AS1_CLEAR,,,,,,34.374,nan,13.253,17.58,nan,,,21.736,nan,nan,nan
AS1_NIR,,,,,,27.519,nan,9.545,13.611,nan,,,16.892,nan,nan,nan
AS2_415nm,,,,,,0.072,nan,0.679,0.995,nan,,,0.582,nan,nan,nan
AS2_445nm,,,,,,0.002,nan,0.903,5.547,nan,,,2.151,nan,nan,nan
AS2_480nm,,,,,,0.633,nan,1.481,4.388,nan,,,2.167,nan,nan,nan
AS2_515nm,,,,,,0.587,nan,2.466,6.119,nan,,,3.057,nan,nan,nan
AS2_555nm,,,,,,0.878,nan,2.204,9.492,nan,,,4.191,nan,nan,nan
AS2_590nm,,,,,,1.166,nan,2.686,11.286,nan,,,5.046,nan,nan,nan
AS2_630nm,,,,,,1.108,nan,2.691,8.344,nan,,,4.048,nan,nan,nan
AS2_680nm,,,,,,0.687,nan,1.611,3.49,nan,,,1.929,nan,nan,nan
AS2_CLEAR,,,,,,8.431,nan,21.149,30.843,nan,,,20.141,nan,nan,nan
AS2_NIR,,,,,,7.507,nan,8.895,9.897,nan,,,8.766,nan,nan,nan
AS3_415nm,,,,,,nan,nan,0,nan,nan,,,0,nan,nan,nan
AS3_445nm,,,,,,0.005,nan,0.973,0.588,nan,,,0.522,nan,nan,nan
AS3_480nm,,,,,,0.017,nan,0.642,0,nan,,,0.22,nan,nan,nan
AS3_515nm,,,,,,0.002,nan,0.974,0.281,nan,,,0.419,nan,nan,nan
AS3_555nm,,,,,,0.587,nan,1.947,0.004,nan,,,0.846,nan,nan,nan
AS3_590nm,,,,,,0.351,nan,0.978,0,nan,,,0.443,nan,nan,nan
AS3_630nm,,,,,,0.585,nan,0.848,0.021,nan,,,0.485,nan,nan,nan
AS3_680nm,,,,,,0.035,nan,0.973,0.584,nan,,,0.531,nan,nan,nan
AS3_CLEAR,,,,,,1.583,nan,10.136,0.974,nan,,,4.231,nan,nan,nan
AS3_NIR,,,,,,0.561,nan,4.348,0.594,nan,,,1.834,nan,nan,nan
O2_1,,,,,,0.302,0.433,0.075,0.009,0.002,,,0.164,nan,nan,nan
O2_2,,,,,,0,0,0,0,0,,,0,nan,nan,nan
O2_3,,,,,,0,0,0.001,0,0,,,0,nan,nan,nan
CO2v,,,,,,71.863,,566.844,118.116,168.588,,,231.353,nan,nan,nan
O2_ave,,,,,,0.101,0.107,0.025,0.004,0.001,,,0.048,nan,nan,nan
O2_1_per,,,,,,0.372,,,0.188,0.172,,,0.244,nan,nan,nan
O2_2_per,,,,,,0,,,0,0,,,0,nan,nan,nan
O2_3_per,,,,,,1.118,,,3.938,0,,,1.685,nan,nan,nan
O2_ave_per,,,,,,0.852,,,0.299,0.112,,,0.421,nan,nan,nan
CO2vmass,,,,,,0.112,,0.843,0.227,0.278,,,0.365,nan,nan,nan
VOCmass,,,,,,0.002,0.004,0.005,0.001,0.002,,,0.003,nan,nan,nan
CO2v_ER,,,,,,0.018,,0.119,0.036,0.059,,,0.058,nan,nan,nan
VOC_ER,,,,,,0,0,0,0,0,,,0,nan,nan,nan
CO2v_ER_min,,,,,,5.373,,21.073,2.072,6.98,,,8.875,nan,nan,nan
VOC_ER_min,,,,,,0.011,0.045,0.028,0.006,0.017,,,0.021,nan,nan,nan
CO2v_ER_hr,,,,,,322.384,,1264.39,124.353,418.789,,,532.479,nan,nan,nan
VOC_ER_hr,,,,,,0.602,2.647,1.726,0.354,0.998,,,1.265,nan,nan,nan
CO2v_EF,,,,,,326.588,,837.234,199.71,373.073,,,434.151,nan,nan,nan
VOC_EF,,,,,,0.757,3.527,1.091,0.806,1.225,,,1.481,nan,nan,nan
CO2v_totmass,,,,,,506.849,,732.483,679.184,520.693,,,609.802,nan,nan,nan
VOC_totmass,,,,,,0.562,39.413,4.024,1.36,3.415,,,9.755,nan,nan,nan
PWM4,,,,,,21.313,,73.041,nan,,,,47.177,nan,nan,nan
PWM5,,,,,,40.383,,nan,nan,,,,40.383,nan,nan,nan
PWM6,,,,,,63.037,,nan,nan,,,,63.037,nan,nan,nan
PWM7,,,,,,nan,,219.213,13.912,,,,116.562,nan,nan,nan
PWM8,,,,,,nan,,159.07,1.363,,,,80.216,nan,nan,nan
Flow8,,,,,,0.294,,43.931,1.986,,,,15.404,nan,nan,nan
Scale3,,,,,,0,,15.952,0,0.738,,,4.173,nan,nan,nan
Scale4,,,,,,0,,0,0.395,,,,0.132,nan,nan,nan
Scale5,,,,,,0,,0,0,,,,0,nan,nan,nan
Scale6,,,,,,0,,0,0.398,,,,0.133,nan,nan,nan
Scale7,,,,,,0,,0,0,,,,0,nan,nan,nan
Scale8,,,,,,0.006,,0,0,,,,0.002,nan,nan,nan
mode3,,,,,,0.6,,nan,0.02,0.027,,,0.216,nan,nan,nan
mode4,,,,,,0.598,,nan,nan,,,,0.598,nan,nan,nan
mode5,,,,,,0.654,,nan,nan,,,,0.654,nan,nan,nan
mode6,,,,,,0.002,,nan,nan,,,,0.002,nan,nan,nan
mode7,,,,,,nan,,nan,0.594,,,,0.594,nan,nan,nan
mode8,,,,,,0,,nan,0.639,,,,0.32,nan,nan,nan
O2_set,,,,,,1271.829,,,,,,,1271.829,nan,nan,nan
state,,,,,,1.529,,,0.061,,,nan,0.795,nan,nan,nan
 controlfan,,,,,,1.044,,,,,,,1.044,nan,nan,nan
O2_4,,,,,,,0,,,,,,0,nan,nan,nan
o2set,,,,,,,,0,0,,,,0,nan,nan,nan
Ignitor,,,,,,,,0.02,nan,,,,0.02,nan,nan,nan
TotalPrimaryFlow,,,,,,,,81.758,,,,,81.758,nan,nan,nan
TotalSecondaryFlow,,,,,,,,343.637,,,,,343.637,nan,nan,nan
snorkel_T,,,,,,,,,13.984,25.608,nan,,19.796,nan,nan,nan
chimney_T,,,,,,,,,23.654,,,,23.654,nan,nan,nan
Lp,,,,,,,,,0.572,,,,0.572,nan,nan,nan
Li,,,,,,,,,0.049,,,,0.049,nan,nan,nan
Ld,,,,,,,,,13.376,,,,13.376,nan,nan,nan
Cp,,,,,,,,,0,,,,0,nan,nan,nan
Ci,,,,,,,,,0,,,,0,nan,nan,nan
Cd,,,,,,,,,0,,,,0,nan,nan,nan
8speed,,,,,,,,,58.834,,,,58.834,nan,nan,nan
Step,,,,,,,,,0,,,,0,nan,nan,nan
Zone,,,,,,,,,0,,,,0,nan,nan,nan
Charcoal_Detected,,,,,,,,,nan,,,,nan,nan,nan,nan
gain,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow1_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow2_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow3_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow4_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow6_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow8_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Chimney_T,,,,,,,,,,15.762,nan,,15.762,nan,nan,nan
snorkel-chim,,,,,,,,,,21.631,,,21.631,nan,nan,nan
body_temp,,,,,,,,,,11.62,,,11.62,nan,nan,nan
ave_temp,,,,,,,,,,17.474,,,17.474,nan,nan,nan
weight1,,,,,,,,,,,,3.377,3.377,nan,nan,nan
weight2,,,,,,,,,,,,8.863,8.863,nan,nan,nan
STC1,,,,,,,,,,,,nan,nan,nan,nan,nan
STC2,,,,,,,,,,,,nan,nan,nan,nan,nan
STC3,,,,,,,,,,,,nan,nan,nan,nan,nan
STC4,,,,,,,,,,,,nan,nan,nan,nan,nan
N,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,N,N,N,N,N,N,N,N,N,N,N,nan,nan,nan,nan
time,#units:,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
seconds,s,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO,ppm,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2,ppm,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CObkg,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
COhi,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
PM,Mm^-1,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2bkg,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
CO2hi,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
O2,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
Flow,mmH2O,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
dP2,mmH2O,4,,3,2,4,2,4,4,10,2,1,3.6,nan,nan,nan
DilFlow,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
FiltFlow,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
SampFlow,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
USampFlow,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
FLUEtemp,degC,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
AmbPres,,2,,,,4,2,4,4,10,1,7,4.25,nan,nan,nan
H2Otemp,degC,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
RH,%,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
TCnoz,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
TC4,,4,,,2,4,2,4,4,10,1,8,4.333,nan,nan,nan
TC5,,4,,,2,4,2,4,4,10,1,8,4.333,nan,nan,nan
TC6,,4,,,2,4,2,4,4,10,1,8,4.333,nan,nan,nan
TC7,,4,,,2,4,2,4,4,10,1,8,4.333,nan,nan,nan
TC8,,4,,,2,4,2,4,4,10,1,8,4.333,nan,nan,nan
COtemp,,4,,,2,4,2,4,4,10,1,8,4.333,nan,nan,nan
BattV,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
StakVel,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
NozVel,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
CO_ECtemp,degC,2,4,3,,,,,,2,3,,2.8,nan,nan,nan
DilRat,,4,,,2,,,,,,1,8,3.75,nan,nan,nan
datenumbers,date,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
phase,text,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
COmass,gm^-3,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2mass,gm^-3,6,4,3,2,,2,,,2,4,8,3.875,nan,nan,nan
PMmass,gm^-3,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
Cmass,gm^-3,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
MCE,mol/mol,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
MW_duct,g/mol,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
density,gm^-3,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
Flow_smooth,mmH2O,6,4,3,2,,,,1,12,4,8,5,nan,nan,nan
DuctFlow,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
vol_flow_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
mass_flow_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
mole_flow_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
totvol_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO_ER_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO2_ER_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
PM_ER_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
C_ER_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO_ER_min_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO2_ER_min_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
PM_ER_min_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO_ER_hr_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO2_ER_hr_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
PM_ER_hr_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO_EF_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
CO2_EF_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
PM_EF_ASTM,,4,,,1,,,,,,1,8,3.5,nan,nan,nan
mass_flow,g/sec,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
vol_flow,m^3/sec,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
mole_flow,mol/sec,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
totvol,m^3,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO_ER,g/sec,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2_ER,g/sec,6,4,3,2,,2,,,2,4,8,3.875,nan,nan,nan
PM_ER,g/sec,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
C_ER,g/sec,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO_ER_min,g/min,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2_ER_min,g/min,6,4,3,2,,2,,,2,4,8,3.875,nan,nan,nan
PM_ER_min,g/min,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO_ER_hr,g/hr,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2_ER_hr,g/hr,6,4,3,2,,2,,,2,4,8,3.875,nan,nan,nan
PM_ER_hr,g/hr,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO_EF,g/kg_C,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2_EF,g/kg_C,6,4,3,2,,2,,,2,4,8,3.875,nan,nan,nan
PM_EF,g/kg_C,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
firepower_carbon,W,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO_totmass,g,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
CO2_totmass,g,6,4,3,2,,2,,,2,4,8,3.875,nan,nan,nan
PitotVel,,2,,,1,,1,,2,,,1,1.4,nan,nan,nan
StackDensity,,2,,3,1,,1,,3,10,2,1,2.875,nan,nan,nan
Re,,2,,,,,,,,,,1,1.5,nan,nan,nan
Viscocity,,2,,,,,,,,,,1,1.5,nan,nan,nan
Cprofile,,2,,,,,,,,,,1,1.5,nan,nan,nan
StackFlow,,2,,,1,,1,,2,,,1,1.4,nan,nan,nan
MassFlow,,2,,,1,,1,,2,,,1,1.4,nan,nan,nan
EnergyFlow,,2,,,1,,1,,2,,,1,1.4,nan,nan,nan
StackUsefulpower,,2,,,1,,1,,2,,,1,1.4,nan,nan,nan
StackThermalEfficiency,,2,,,1,,1,,2,,,1,1.4,nan,nan,nan
PM_totmass,g,6,4,3,2,4,2,4,4,12,4,8,4.818,nan,nan,nan
File Index,,2,,,1,,,,,,,1,1.333,nan,nan,nan
Sample #,,2,,,1,,,,,,,1,1.333,nan,nan,nan
11.5,,2,,,1,,,,,,,1,1.333,nan,nan,nan
15.4,,2,,,1,,,,,,,1,1.333,nan,nan,nan
20.5,,2,,,1,,,,,,,1,1.333,nan,nan,nan
27.4,,2,,,1,,,,,,,1,1.333,nan,nan,nan
36.5,,2,,,1,,,,,,,1,1.333,nan,nan,nan
48.7,,2,,,1,,,,,,,1,1.333,nan,nan,nan
64.9,,2,,,1,,,,,,,1,1.333,nan,nan,nan
86.6,,2,,,1,,,,,,,1,1.333,nan,nan,nan
115.5,,2,,,1,,,,,,,1,1.333,nan,nan,nan
154,,2,,,1,,,,,,,1,1.333,nan,nan,nan
205.4,,2,,,1,,,,,,,1,1.333,nan,nan,nan
273.8,,2,,,1,,,,,,,1,1.333,nan,nan,nan
365.2,,2,,,1,,,,,,,1,1.333,nan,nan,nan
Total Conc,,2,,,1,,,,,,,1,1.333,nan,nan,nan
Median (nm),,2,,,1,,,,,,,1,1.333,nan,nan,nan
Mean (nm),,2,,,1,,,,,,,1,1.333,nan,nan,nan
Geo Mean (nm),,2,,,1,,,,,,,1,1.333,nan,nan,nan
Mode (nm),,2,,,1,,,,,,,1,1.333,nan,nan,nan
GSD,,2,,,1,,,,,,,1,1.333,nan,nan,nan
Particle Density (g/cc),,2,,,1,,,,,,,1,1.333,nan,nan,nan
Firmware Version,,2,,,1,,,,,,,1,1.333,nan,nan,nan
ID,NAN,6,3,3,2,4,2,4,4,11,4,8,4.636,nan,nan,nan
PWM1,10_bit_PWM,2,3,,0,4,,4,4,1,3,2,2.556,nan,nan,nan
PWM2,10_bit_PWM,2,3,,0,4,,4,4,10,0,7,3.778,nan,nan,nan
Flow1,,2,3,3,2,4,,4,4,1,,8,3.444,nan,nan,nan
Flow2,,2,3,,2,4,,4,4,1,,7,3.375,nan,nan,nan
Flow3,,2,3,,,4,,4,4,1,,,3,nan,nan,nan
Flow4,,2,3,,,2,,1,0,1,,,1.5,nan,nan,nan
Flow5,SLPM,4,3,,,4,,4,0,11,3,,4.143,nan,nan,nan
Flow6,SLPM,4,3,,,4,,1,0,11,3,,3.714,nan,nan,nan
Flow7,SLPM,2,,,,4,,4,4,11,3,,4.667,nan,nan,nan
preCAT_T,degC,2,,,,,,,,,2,,2,nan,nan,nan
PostCAT_T,degC,2,,,,,,,,,2,,2,nan,nan,nan
diff_T,degC,2,,,,,,,,5,3,,3.333,nan,nan,nan
body_T,degC,2,,,,,,,,4,3,,3,nan,nan,nan
body_T threshold,degC,2,,,,,,,,4,3,,3,nan,nan,nan
snorkel_T threshold,degC,2,,,,,,,,3,3,,2.667,nan,nan,nan
deltaP1,Pa,4,3,3,2,4,,3,4,11,3,8,4.5,nan,nan,nan
deltaP2,Pa,4,3,3,2,4,,3,4,11,3,7,4.4,nan,nan,nan
deltaP3,Pa,2,,,,,,,,11,3,,5.333,nan,nan,nan
Lambda,Lambda,4,3,,2,4,,4,4,11,3,1,4,nan,nan,nan
Kp2,,2,3,,,,,,,,,,2.5,-50,8.825,-108.825
Ki2,,2,3,,,,,,,,,,2.5,-41.142,56.572,-138.856
Kd2,,1,0,,,,,,,,,,0.5,nan,nan,nan
o2Setpoint,Lambda,2,,,,,,,,11,3,,5.333,nan,nan,nan
Scale1,Scale,4,3,3,2,4,,4,4,11,3,8,4.6,nan,nan,nan
Scale2,Scale,4,3,3,2,4,,4,4,11,3,7,4.5,nan,nan,nan
mode1,mode,2,3,,0,4,,0,4,1,3,1,2,nan,nan,nan
mode2,mode,2,3,,0,4,,0,4,10,0,6,3.222,nan,nan,nan
state_press,state,2,3,,0,,,,,1,3,5,2.333,nan,nan,nan
state_temp,state,0,,,0,,,,,11,0,1,2.4,nan,nan,nan
prev_state_temp,state,0,,,,,,,,10,1,,3.667,nan,nan,nan
Kp1,P,4,3,,,,,,,11,3,,5.25,nan,nan,nan
Ki1,I,4,3,,,,,,,11,3,,5.25,nan,nan,nan
Kd1,D,3,0,,,,,,,11,3,,4.25,nan,nan,nan
Op,P,2,,,,,,3,4,11,3,,4.6,nan,nan,nan
Oi,I,2,,,,,,3,4,11,3,,4.6,nan,nan,nan
Od,D,2,,,,,,0,4,11,3,,4,nan,nan,nan
press_offset,Pa,0,0,,2,,,,,9,0,4,2.5,nan,nan,nan
PRESSURE_T,Pa,2,,,,,,,,11,3,,5.333,nan,nan,nan
PRESSURE_D,Pa,0,,,,,,,,4,0,,1.333,nan,nan,nan
Tp,P,4,3,3,2,,,,,11,3,5,4.429,nan,nan,nan
Ti,I,4,3,3,2,,,,,11,3,5,4.429,nan,nan,nan
Td,D,2,0,0,0,,,,,11,3,1,2.429,nan,nan,nan
temp_set,degC,4,,,2,,,,,11,3,5,5,nan,nan,nan
temp_set_start,degC,2,,,,,,,,11,3,,5.333,nan,nan,nan
temp_set_low,degC,2,,,,,,,,11,3,,5.333,nan,nan,nan
temp_control,val,2,0,,0,,,,,11,3,0,2.667,nan,nan,nan
DelayTime,min,2,,,,,,,,11,3,,5.333,nan,nan,nan
cooledDown,flag,0,,,,,,,,5,0,,1.667,nan,nan,nan
PrimaryFlow,SLPM,2,3,3,2,4,,,4,3,3,5,3.222,nan,nan,nan
SecondaryFlow,SLPM,2,0,0,0,0,,,0,3,0,0,0.556,nan,nan,nan
TotalFlow,SLPM,2,0,3,2,4,,4,4,6,3,8,3.6,nan,nan,nan
SenO2Percent,%,4,3,,2,4,,,2,11,3,1,3.75,nan,nan,nan
PWM3,,,3,,,4,,4,4,11,0,,4.333,nan,nan,nan
Setpointt,,,3,3,,,,,,,,,3,nan,nan,nan
temp_auto,,,2,,,,,,,,,,2,nan,nan,nan
autoRoutineStage,,,3,,,,,,,,,,3,nan,nan,nan
autoTimeCounter,,,3,,,,,,,,,,3,nan,nan,nan
PWMl,,,,3,,,,,,,,,3,nan,nan,nan
PWMf,,,,3,,,,,,,,,3,nan,nan,nan
lambda,,,,3,,,,,,,,,3,nan,nan,nan
linmode,,,,3,,,,,,,,,3,nan,nan,nan
fanmode,,,,3,,,,,,,,,3,nan,nan,nan
linstate,,,,3,,,,,,,,,3,nan,nan,nan
fanstate,,,,3,,,,,,,,,3,nan,nan,nan
dampercount,,,,3,,,,,,,,,3,nan,nan,nan
stepcount,,,,3,,,,,,,,,3,nan,nan,nan
400count,,,,3,,,,,,,,,3,nan,nan,nan
500count,,,,3,,,,,,,,,3,nan,nan,nan
400timer,,,,3,,,,,,,,,3,nan,nan,nan
500timer,,,,3,,,,,,,,,3,nan,nan,nan
reload,,,,3,,3,,,,,,,3,nan,nan,nan
dooropen,,,,3,,,,,,,,,3,nan,nan,nan
pressurecounter,,,,3,,,,,,,,,3,nan,nan,nan
reloads,,,,3,,,,,,,,,3,nan,nan,nan
pot_val,,,,3,,,,,,,,,3,nan,nan,nan
powerlevel,,,,3,,,,,,,,,3,nan,nan,nan
load,,,,3,,,,,,,,,3,nan,nan,nan
auto,,,,3,,,,,,,,,3,nan,nan,nan
weight,,,,,2,4,,,4,10,,6,5.2,nan,nan,nan
tmoStatusCondition_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoOperatingMode_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoCaseHeatTemp_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoCapHeatTemp_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoTEOMAFlowMass_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoTEOMAAirTubeHeatTemp_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoTEOMAFilterLoad_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoTEOMAFilterPressure_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoTEOMANoise_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoTEOMAFrequency_0,,,,,1,,,,,,,,1,nan,nan,nan
tmoTEOMBFlowMass_0,,,,,1,,,,,,,,1,nan,nan,nan
