All Outputs,units,11.14.25,11.17.25,11.18.25,11.19.25,11.20.25,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
ID_prebkg,4014,4014.0,4014.0,4014.0,4014.0,4014.0,4014.0,5,0.0,0.0,4014.0,4014.0,0.0,4014.0-4014.0
CO_prebkg,ppm,-5.9113372359409335e-18,1.4778343089852334e-18,-3.6945857724630834e-19,1.4778343089852334e-18,1.9581304594054343e-17,0.0,5,0.0,0.0,0.0,0.0,nan,0.0-0.0
CO2_prebkg,ppm,-2.553697685926483e-14,-5.93971165467345e-14,1.9672930321211428e-14,-5.4478883966431644e-14,5.845130258898395e-14,-0.0,5,0.0,0.0,0.0,-0.0,nan,-0.0-0.0
PM_prebkg,Mm^-1,4.906409905830974e-16,5.911337235940933e-17,-2.2463081496575546e-16,-1.064040702469368e-16,2.0098546602199173e-16,0.0,5,0.0,0.0,0.0,0.0,nan,0.0-0.0
Flow_prebkg,mmH2O,7.130567387687187,7.128394342762063,7.162569051580698,7.054985024958403,7.108783693843596,7.117,5,0.04,0.038,7.155,7.079,0.562,7.079-7.155
FLUEtemp_prebkg,degC,12.473094841930118,11.729767054908486,10.650948419301166,11.776539101497503,10.068702163061563,11.34,5,0.964,0.919,12.259,10.421,8.501,10.421-12.259
H2Otemp_prebkg,degC,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,5,0.0,0.0,65535.0,65535.0,0.0,65535.0-65535.0
RH_prebkg,%,73.16472545757073,72.16272878535774,66.97970049916806,67.09900166389352,62.60765391014974,68.403,5,4.305,4.104,72.507,64.299,6.294,64.299-72.507
datenumbers_prebkg,date,20406.42394675926,20409.553530092595,20410.57728009259,20411.563425925924,20412.406597222223,20410.105,5,2.318,2.21,20412.315,20407.895,0.011,20407.895-20412.315
phase_prebkg,text,prebkg,prebkg,prebkg,prebkg,prebkg,nan,0,nan,nan,nan,nan,nan,nan-nan
time_L1,yyyymmdd hh:mm:ss,20251114 11:01:59,20251117 13:57:44,20251118 14:28:59,,20251120 10:22:29,nan,0,nan,nan,nan,nan,nan,nan-nan
seconds_L1,s,2279.0,2729.0,2639.0,,1859.0,2376.5,4,396.011,465.979,2842.479,1910.521,16.664,1910.521-2842.479
ID_L1,NAN,4001.0,4001.0,4001.0,,4001.0,4001.0,4,0.0,0.0,4001.0,4001.0,0.0,4001.0-4001.0
CO_L1,ppm,31.483421816508546,22.406193027332897,36.073858000676964,23.519834009153712,36.22782491141847,29.942,5,6.662,6.351,36.293,23.591,22.25,23.591-36.293
Flow_L1,mmH2O,6.98554649122807,6.972416483516484,7.118299621212122,6.861032662192393,6.930680107526881,6.974,5,0.094,0.09,7.064,6.884,1.348,6.884-7.064
FLUEtemp_L1,degC,20.267236842105266,17.931542124542126,15.539246212121212,18.53973154362416,18.16851612903226,18.089,5,1.694,1.615,19.704,16.474,9.365,16.474-19.704
H2Otemp_L1,degC,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,5,0.0,0.0,65535.0,65535.0,0.0,65535.0-65535.0
RH_L1,%,78.03311403508772,74.38725274725275,70.67215909090909,69.2357941834452,72.31698924731184,72.929,5,3.438,3.278,76.207,69.651,4.714,69.651-76.207
datenumbers_L1,date,20406.459716435184,20409.581765046296,20410.603466435183,,20412.432285879633,20409.769,4,2.502,2.944,20412.713,20406.825,0.012,20406.825-20412.713
phase_L1,text,L1,L1,L1,L1,L1,nan,0,nan,nan,nan,nan,nan,nan-nan
time_lp,yyyymmdd hh:mm:ss,20251114 13:54:00,20251117 16:54:45,20251118 17:16:30,,20251120 16:24:30,nan,0,nan,nan,nan,nan,nan,nan-nan
seconds_lp,s,18360.0,18510.0,17460.0,,14580.0,17227.5,4,1824.89,2147.315,19374.815,15080.185,10.593,15080.185-19374.815
ID_lp,NAN,4001.0,4001.0,4001.0,,4001.0,4001.0,4,0.0,0.0,4001.0,4001.0,0.0,4001.0-4001.0
Flow_lp,mmH2O,6.965119873645226,6.983006158500351,7.0483321688334,6.866575180409321,6.90302969617996,6.953,5,0.071,0.068,7.021,6.885,1.021,6.885-7.021
FLUEtemp_lp,degC,23.901801100157943,19.219327426935337,18.595111391100165,21.854231042233526,20.831264659488376,20.88,5,2.125,2.026,22.906,18.854,10.177,18.854-22.906
H2Otemp_lp,degC,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,5,0.0,0.0,65535.0,65535.0,0.0,65535.0-65535.0
RH_lp,%,58.169331735744244,53.7972178704554,48.779886604432726,42.36334437477819,51.28812838625608,50.88,5,5.89,5.615,56.495,45.265,11.576,45.265-56.495
datenumbers_lp,date,20406.579166666666,20409.704687499998,20410.71979166667,,20412.683680555554,20409.922,4,2.549,2.999,20412.921,20406.923,0.012,20406.923-20412.921
phase_lp,text,lp,lp,lp,lp,lp,nan,0,nan,nan,nan,nan,nan,nan-nan
time_postbkg,yyyymmdd hh:mm:ss,20251114 22:27:15,20251117 21:33:52,20251118 22:27:00,20251119 22:37:00,20251120 23:05:07,nan,0,nan,nan,nan,nan,nan,nan-nan
seconds_postbkg,s,44988.0,30649.0,31485.0,33282.0,48728.0,37826.4,5,8404.067,8012.361,45838.761,29814.039,22.217,29814.039-45838.761
ID_postbkg,4014,4014.0,4014.0,4014.0,4014.0,4014.0,4014.0,5,0.0,0.0,4014.0,4014.0,0.0,4014.0-4014.0
CO_postbkg,ppm,2.9556686179704667e-18,3.509856483839929e-17,-4.5073946424049614e-17,-9.679814723853278e-17,0.0,-0.0,4,0.0,0.0,0.0,-0.0,nan,-0.0-0.0
CO2_postbkg,ppm,2.4212837318414063e-14,-4.6155721138226804e-14,5.0317302552329224e-14,-5.1073953718529666e-15,-1.324139540850769e-15,0.0,5,0.0,0.0,0.0,0.0,nan,0.0-0.0
time_hp,yyyymmdd hh:mm:ss,,,,,20251120 11:14:29,nan,0,nan,nan,nan,nan,nan,nan-nan
seconds_hp,s,,,,,4379.0,4379.0,1,nan,nan,nan,nan,nan,nan-nan
ID_hp,NAN,,,,,4001.0,4001.0,1,nan,nan,nan,nan,nan,nan-nan
PM_postbkg,Mm^-1,3.3103488521269227e-16,-1.2118241333678912e-16,-4.669956416393337e-16,-2.527096668364749e-16,1.2709375057273008e-16,-0.0,5,0.0,0.0,0.0,-0.0,nan,-0.0-0.0
Flow_postbkg,mmH2O,7.018346089850249,6.80655241264559,7.181712146422629,6.999767054908487,7.046484193011647,7.011,5,0.135,0.129,7.14,6.882,1.926,6.882-7.14
FLUEtemp_postbkg,degC,12.596189683860231,12.294642262895174,8.65981697171381,12.906422628951747,9.236006655574043,11.139,5,2.022,1.928,13.067,9.211,18.152,9.211-13.067
Flow_hp,mmH2O,,,,,6.900213470319635,6.9,1,nan,nan,nan,nan,nan,nan-nan
FLUEtemp_hp,degC,,,,,20.52880136986301,20.529,1,nan,nan,nan,nan,nan,nan-nan
H2Otemp_hp,degC,,,,,65535.0,65535.0,1,nan,nan,nan,nan,nan,nan-nan
RH_hp,%,,,,,59.782374429223744,59.782,1,nan,nan,nan,nan,nan,nan-nan
H2Otemp_postbkg,degC,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,5,0.0,0.0,65535.0,65535.0,0.0,65535.0-65535.0
datenumbers_hp,date,,,,,20412.468396990742,20412.468,1,nan,nan,nan,nan,nan,nan-nan
phase_hp,text,,,,,hp,nan,0,nan,nan,nan,nan,nan,nan-nan
time_mp,yyyymmdd hh:mm:ss,,,,,20251120 13:06:59,nan,0,nan,nan,nan,nan,nan,nan-nan
seconds_mp,s,,,,,9119.0,9119.0,1,nan,nan,nan,nan,nan,nan-nan
ID_mp,NAN,,,,,4001.0,4001.0,1,nan,nan,nan,nan,nan,nan-nan
RH_postbkg,%,65.49434276206324,60.7738768718802,52.947920133111474,53.894342762063225,57.45058236272878,58.112,5,5.159,4.919,63.031,53.193,8.878,53.193-63.031
datenumbers_postbkg,date,20406.93559027778,20409.89851851852,20410.935416666667,20411.942361111112,20412.961886574074,20410.535,5,2.313,2.205,20412.74,20408.33,0.011,20408.33-20412.74
phase_postbkg,text,postbkg,postbkg,postbkg,postbkg,postbkg,nan,0,nan,nan,nan,nan,nan,nan-nan
Flow_mp,mmH2O,,,,,6.888775328947369,6.889,1,nan,nan,nan,nan,nan,nan-nan
FLUEtemp_mp,degC,,,,,21.529321271929824,21.529,1,nan,nan,nan,nan,nan,nan-nan
H2Otemp_mp,degC,,,,,65535.0,65535.0,1,nan,nan,nan,nan,nan,nan-nan
RH_mp,%,,,,,51.57313596491228,51.573,1,nan,nan,nan,nan,nan,nan-nan
PWM1_L1,10_bit_PWM,80.0,86.68937728937729,87.69318181818181,,59.02311827956989,78.351,4,13.33,15.685,94.036,62.666,17.013,62.666-94.036
datenumbers_mp,date,,,,,20412.54652199074,20412.547,1,nan,nan,nan,nan,nan,nan-nan
phase_mp,text,,,,,mp,nan,0,nan,nan,nan,nan,nan,nan-nan
PWM2_L1,10_bit_PWM,923.7342105263158,982.8706959706959,951.4390151515152,,704.3967741935484,890.61,4,126.471,148.816,1039.426,741.794,14.2,741.794-1039.426
PWM3_L1,14_bit_PWM,0.0,740.0,716.4545454545455,,740.0,732.152,3,13.594,22.918,755.07,709.234,1.857,709.234-755.07
Flow1_L1,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow2_L1,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow3_L1,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow4_L1,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow5_L1,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
Flow6_L1,SLPM,999.0,999.0,999.0,,999.0,999.0,4,0.0,0.0,999.0,999.0,0.0,999.0-999.0
STC1_L1,degC,320.6902938596491,319.16128937728934,285.22228409090906,,376.78960752688175,325.466,4,37.931,44.633,370.099,280.833,11.654,280.833-370.099
STC2_L1,degC,439.4102587719298,449.35846886446893,413.11645454545453,,530.6131774193549,458.125,4,50.687,59.642,517.767,398.483,11.064,398.483-517.767
STC3_L1,degC,440.439149122807,423.3165714285714,348.0641212121212,,469.47046774193547,420.323,4,51.802,60.954,481.277,359.369,12.324,359.369-481.277
STC4_L1,degC,96.44945614035088,173.76453846153845,85.11845454545454,,88.57999462365592,110.978,4,42.125,49.568,160.546,61.41,37.958,61.41-160.546
deltaP1_L1,Pa,0.011789473684210527,-0.008663003663003663,-0.008704545454545454,,-0.0079247311827957,-0.003,4,0.01,0.012,0.009,-0.015,-333.333,-0.015-0.009
