20260610 12:41:50,26,4003,-2.56,660,5,-0.001,18.70,17.25,59.3,0.03,-0.03,18,21.27,-181,16.70,18.87,18.67,18.94,17.12,18.19,nan,nan,nan,-50.00,nan,18.56,-0.412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,555.454,0.326
20260610 12:41:51,27,4003,-2.56,667,3,0.012,18.70,17.25,59.3,0.03,-0.03,18,21.27,-195,16.70,18.88,18.68,18.94,17.06,18.19,nan,nan,nan,-50.00,nan,18.44,-0.504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,556.640,0.326
20260610 12:41:52,28,4003,-2.38,671,2,0.020,18.72,17.25,59.4,0.03,-0.03,18,21.27,-195,16.70,18.89,18.68,18.95,17.12,18.38,nan,nan,nan,-50.06,nan,18.38,-0.412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,569.695,0.326
20260610 12:41:53,29,4003,-2.20,672,1,0.008,18.72,17.28,59.4,0.03,-0.03,18,21.27,-195,16.70,18.89,18.68,18.95,17.12,18.19,nan,nan,nan,-50.19,nan,18.38,-0.421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,570.288,0.326
20260610 12:41:54,30,4003,-2.01,678,2,-0.004,18.72,17.25,59.4,0.03,-0.03,18,21.27,-195,16.70,18.89,18.67,18.95,17.06,18.19,nan,nan,nan,-50.00,nan,18.56,-0.426,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,567.321,0.326
20260610 12:41:55,31,4003,-2.01,680,3,0.006,18.72,17.25,59.5,0.03,-0.03,18,21.27,-195,16.70,18.88,18.67,18.95,17.12,18.38,nan,nan,nan,-50.19,nan,18.38,-0.421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,565.541,0.326
20260610 12:41:56,32,4003,-2.01,682,5,0.019,18.75,17.25,59.5,0.03,-0.03,18,21.27,-194,16.70,18.89,18.68,18.95,17.06,18.38,nan,nan,nan,-50.00,nan,18.62,-0.407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,568.508,0.326
20260610 12:41:57,33,4003,-1.64,688,1,0.018,18.72,17.25,59.5,0.03,-0.03,18,21.18,-194,16.70,18.89,18.68,18.95,17.12,18.19,nan,nan,nan,-50.00,nan,18.44,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,570.288,0.326
20260610 12:41:58,34,4003,-1.64,691,2,0.031,18.72,17.25,59.5,0.03,-0.03,18,21.18,-194,16.70,18.89,18.68,18.95,17.12,18.38,nan,nan,nan,-50.06,nan,18.44,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,576.222,0.326
20260610 12:41:59,35,4003,-1.64,688,3,0.021,18.72,17.28,59.6,0.03,-0.03,18,21.18,-194,16.70,18.89,18.67,18.95,17.12,18.19,nan,nan,nan,-50.00,nan,18.44,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,572.661,0.326
