Energy Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
COhiconc_test,gm^-3,5.88419223923795,6.801572236510572,7.114447694647411,6.6,3,0.639,1.077,7.677,5.523,9.682,7.677-5.523
CO2conc_test,gm^-3,7.716351055032084,5.820225096543138,5.888639155820073,6.475,3,1.076,1.814,8.289,4.661,16.618,8.289-4.661
CO2hiconc_test,gm^-3,73.86685755724608,58.77092555468268,58.89686195525324,63.845,3,8.68,14.633,78.478,49.212,13.595,78.478-49.212
PMconc_test,mgm^-3,25.426558482507335,31.33810451761424,79.09886439986944,45.288,3,29.43,49.615,94.903,-4.327,64.984,94.903--4.327
Cconc_test,gm^-3,2.320590563422282,1.8324049313690973,1.8383997803982874,1.997,3,0.28,0.472,2.469,1.525,14.021,2.469-1.525
Cconchi_test,gm^-3,22.68071033102621,18.954493347821266,19.123013761486114,20.253,3,2.104,3.547,23.8,16.706,10.389,23.8-16.706
MCE_test,mol/mol,0.8928596355391205,0.8349871080603724,0.8574445607987945,0.862,3,0.029,0.049,0.911,0.813,3.364,0.911-0.813
MCEhi_test,mol/mol,0.872905660861456,0.8102949254302217,0.822788568784694,0.835,3,0.033,0.056,0.891,0.779,3.952,0.891-0.779
CER_CO_test,g/g,0.24987523801409692,0.38484688619724083,0.3324710950895533,0.322,3,0.068,0.115,0.437,0.207,21.118,0.437-0.207
CER_COhi_test,g/g,0.29641235963951246,0.4424345660865373,0.4132966018601626,0.384,3,0.077,0.13,0.514,0.254,20.052,0.514-0.254
CER_CO2_test,g/g,3.27183618318704,3.0597654142995157,3.1420595437764582,3.158,3,0.107,0.18,3.338,2.978,3.388,3.338-2.978
CER_CO2hi_test,g/g,3.1987159146138864,2.9692822371510665,3.0150645222493044,3.061,3,0.121,0.204,3.265,2.857,3.953,3.265-2.857
CER_PM_test,mg/g,11.577272231455067,18.695858854341896,38.541965928565716,22.938,3,13.974,23.558,46.496,-0.62,60.921,46.496--0.62
