time_test,seconds_test,CO_test,ChipTemp_test,PM_test,Flow_test,FlueTemp_test,TC_test,F1Flow_test,DilFlow_test,CO2_test,PM_RH_test,datenumbers_test,phase_test,COconc_test,CO2conc_test,PMconc_test,Cconc_test,MCE_test,CER_CO_test,CER_CO2_test,CER_PM_test,EFmass_CO_test,EFmass_CO2_test,EFmass_PM_test,EFmass_dry_CO_test,EFmass_dry_CO2_test,EFmass_dry_PM_test,EFenergy_CO_test,EFenergy_CO2_test,EFenergy_PM_test,ER_CO_test,ER_CO2_test,ER_PM_test,ER_PM_heat_test,Realtime_conc_PM_test,PM_flowrate_test
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 13:29:17,8279.0,44.67086652360515,29.2608,13.217830901287554,14525.0,26.8416,332.90000000000003,2688.994,2625.192,3023.005364806867,36.0,19513.562002314815,test,0.052044693793201,5.533873895877075,0.2068376728607441,1.5324683036451188,0.9854382069178692,0.03396135089346242,3.6110853860495773,0.13497027792924748,13.924153866319594,1480.5450082803268,55.337813950991475,16.98067544673121,1805.5426930247886,67.48513896462374,0.9023494178160583,95.94614790229582,3.586145677596493,1.1350586117234316,120.6899448129204,4.510985937246339,0.2706591562347803,206.83767286074408,0.561359743523079
20230605 13:29:19,8281.0,45.56357652360515,29.2608,9.635030901287555,14532.0,26.8608,332.90000000000003,2691.084,2649.816,3023.005364806867,36.0,19513.56202546296,test,0.05308476357943578,5.533873895877075,0.15077264828448877,1.5329142600225796,0.9851515226169728,0.03462996265600259,3.6100348468253936,0.09835686979796764,14.198284688961063,1480.1142871984114,40.32631661716673,17.314981328001295,1805.0174234126969,49.17843489898382,0.920114359987108,95.9182351888025,2.613331385987087,1.157405000162205,120.65483361851874,3.2872900856200737,0.19723740513720445,150.77264828448878,0.4091986435578366
20230605 13:29:21,8283.0,46.62796152360515,29.2608,8.215430901287554,14536.0,26.876160000000002,333.0,2692.7560000000003,2610.6000000000004,3065.005364806867,36.0,19513.56204861111,test,0.05432484678610033,5.610758543960286,0.12855820458446304,1.5544272229469127,0.9850149562517402,0.03494846589415119,3.609534406714329,0.08270455038785281,14.328871016601989,1479.909106752875,33.90886565901965,17.474232947075595,1804.7672033571644,41.3522751939264,0.9285769565551156,95.90493854921101,2.1974509532123423,1.1680500373533482,120.63810787461367,2.7641571868249115,0.1658494312094947,128.55820458446306,0.348908396401797
20230605 13:29:23,8285.0,48.24170652360515,29.27232,7.607030901287555,14602.0,26.872320000000002,332.90000000000003,2689.8300000000004,2620.632,3106.005364806867,37.0,19513.56207175926,test,0.05620497293814013,5.685812605184374,0.11903772871302348,1.5757150670959,0.9847057933533226,0.03566950276215099,3.608401495876747,0.07554521194775039,14.624496132481907,1479.4446133094664,30.973536898577663,17.834751381075492,1804.2007479383735,37.772605973875194,0.9477348281045886,95.87483723086426,2.0072281056689563,1.192148581282318,120.60024365046819,2.5248772837323306,0.15149263702393984,119.03772871302348,0.32306971904920867
20230605 13:29:25,8287.0,49.92412152360515,29.28384,7.607030901287555,14420.0,26.86464,332.90000000000003,2691.92,2653.0080000000003,3071.005364806867,37.0,19513.562094907407,test,0.05816510445835183,5.621742065115031,0.11903772871302348,1.5590711519248528,0.9840034445692315,0.03730753685394045,3.605827776477259,0.076351697333414,15.296090110115586,1478.3893883556761,31.304195906699743,18.653768426970224,1802.9138882386296,38.175848666707,0.9912572166493154,95.80645378495731,2.0286563350852016,1.2468950696659737,120.51422462320063,2.5518316939116614,0.1531099016346997,119.03772871302348,0.32306971904920867
20230605 13:29:27,8289.0,51.43486152360515,29.27616,6.795830901287555,14220.0,26.86464,332.70000000000005,2688.5760000000005,2658.936,3071.005364806867,37.0,19513.562118055557,test,0.05992522255813377,5.621742065115031,0.10634376088443737,1.5598258473328634,0.9835273511115209,0.03841789303632809,3.604083157570195,0.06817668848498305,15.751336144894518,1477.67409460378,27.952442278843055,19.208946518164044,1802.0415787850975,34.08834424249152,1.0207592602484945,95.76009944940576,1.8114472347121415,1.284005470570022,120.4559158497702,2.2786059843856883,0.13671635906314128,106.34376088443737,0.2886181492457575
20230605 13:29:29,8291.0,53.01427152360515,29.28384,7.269030901287554,14529.0,26.86848,332.5,2692.7560000000003,2646.6240000000003,3106.005364806867,37.0,19513.562141203704,test,0.06176534602608762,5.685812605184374,0.11374857545111258,1.5780992184984795,0.983218125359554,0.039139076492830244,3.6029500164091566,0.07207948278394144,16.047021362060402,1477.2095067277544,29.552587941415993,19.56953824641512,1801.4750082045782,36.03974139197072,1.0399210266386107,95.7299920113897,1.9151440568606048,1.308108913790027,120.4180439277383,2.409045444603703,0.14454272667622217,113.74857545111259,0.30871489829777066
20230605 13:29:31,8293.0,54.25033152360515,29.28,12.879830901287555,14619.0,26.872320000000002,332.3,2688.5760000000005,2624.28,3162.005364806867,37.0,19513.562164351853,test,0.06320544265318193,5.788325469295323,0.20154851959883321,1.606691690832983,0.9831324569170602,0.039338874417414404,3.6026360890024822,0.1254431828762002,16.128938511139907,1477.0807964910177,51.43170497924209,19.6694372087072,1801.318044501241,62.721591438100106,1.0452296358719402,95.72165099416874,3.333011793094556,1.314786573804646,120.40755182430226,4.1925707093423545,0.25155424256054126,201.54851959883322,0.5470049227716411
20230605 13:29:33,8295.0,55.82974152360515,29.28384,9.702630901287554,14620.0,26.872320000000002,332.1,2690.248,2601.936,3162.005364806867,37.0,19513.5621875,test,0.06504556612113577,5.788325469295323,0.1518304789368709,1.6074806905777215,0.9826499060148325,0.040464290801377326,3.600867807136784,0.09445244339594755,16.590359228564704,1476.3558009260814,38.7255017923385,20.232145400688662,1800.433903568392,47.22622169797378,1.0751318273971036,95.67466793636716,2.5095911990369064,1.3524003178043775,120.34845218583642,3.1567960771409727,0.18940776462845835,151.83047893687092,0.4120696077081241
20230605 13:29:35,8297.0,57.27181152360515,29.28768,10.716630901287555,14617.0,26.876160000000002,332.1,2694.01,2638.8720000000003,3212.005364806867,37.0,19513.56221064815,test,0.0667256788527458,5.879854812251527,0.1676979387226036,1.6331787551074006,0.9824818122066087,0.04085632307184758,3.600251836404067,0.10268192517087665,16.75109245945751,1476.1032529256677,42.09958932005943,20.428161535923792,1800.1259182020335,51.34096258543833,1.0855480823963133,95.65830166066151,2.72824763917176,1.365502847384743,120.32786516952682,3.4318423845731196,0.2059105430743872,167.6979387226036,0.4551340699624381
20230605 13:29:37,8299.0,58.57654152360515,29.28768,17.206230901287555,14450.0,26.8608,332.1,2691.5020000000004,2656.2000000000003,3199.005364806867,37.0,19513.562233796296,test,0.06824578084801201,5.856057183082914,0.2692496813512925,1.6273363424060447,0.9820183979381231,0.04193710855563482,3.598553679704979,0.16545422991856878,17.194214507810276,1475.4070086790414,67.83623426661322,20.968554277817407,1799.2768398524895,82.72711495928439,1.1142644357339302,95.61318182094753,4.396100982866517,1.40162493436081,120.27110925921562,5.5298226829749515,0.3317893609784971,269.2496813512925,0.7307466283900473
20230605 13:29:39,8301.0,59.434916523605146,29.291520000000002,17.544230901287555,14530.0,26.88,332.0,2686.068,2638.416,3223.005364806867,37.0,19513.562256944446,test,0.06924584795016084,5.899991267701893,0.2745388346132034,1.6397544298751723,0.9818930699633278,0.0422294013594659,3.5980944220721116,0.16742679855672224,17.314054557381024,1475.218713049566,68.64498740825613,21.11470067973295,1799.0472110360558,83.71339927836112,1.1220306238987119,95.60097939534484,4.448511918103566,1.411393964608577,120.25575991893703,5.595750008038532,0.33574500048231193,274.5388346132034,0.7451014491414854
