variable_name,units,average,uncertainty
AS2_515nm_hp,counts,0.0,0.0
AS2_555nm_hp,counts,0.0,0.0
AS2_590nm_hp,counts,0.0,0.0
AS2_630nm_hp,counts,0.0,0.0
AS2_680nm_hp,counts,0.0,0.0
AS2_CLEAR_hp,counts,0.0,0.0
AS2_NIR_hp,counts,0.0,0.0
AS3_415nm_hp,counts,0.0,0.0
AS3_445nm_hp,counts,0.0,0.0
AS3_480nm_hp,counts,0.0,0.0
AS3_515nm_hp,counts,0.0,0.0
AS3_555nm_hp,counts,0.0,0.0
AS3_590nm_hp,counts,0.0,0.0
AS3_630nm_hp,counts,0.0,0.0
AS3_680nm_hp,counts,0.0,0.0
AS3_CLEAR_hp,counts,0.0,0.0
AS3_NIR_hp,counts,0.0,0.0
O2_1_hp,lambda,1.8776512103648142,0.0
O2_2_hp,lambda,0.018999999999999996,0.0
O2_3_hp,lambda,0.024999999999999994,0.0
O2_4_hp,lambda,-0.0010000000000000002,0.0
O2_ave_hp,lambda,0.48016280259120353,0.0
datenumbers_hp,date,19549.43013888889,
phase_hp,text,hp,
time_mp,yyyymmdd hh:mm:ss,20230711 11:13:11,
seconds_mp,s,7132.0,0.0
ID_mp,4003,4003.0,0.0
CO_mp,ppm,288.1055867171176,0.0
CO2_mp,ppm,5869.7528112929385,0.0
PM_mp,Mm^-1,727.4438110290964,0.0
Flow_mp,mmH2O,15.249678399091684,0.0
FLUEtemp_mp,degC,48.861325574794215,0.0
H2Otemp_mp,degC,23.681390860062447,0.0
RH_mp,%,59.81623616236162,0.0
GravFlo1_mp,lpm,0.0007862617087709338,0.0
GravFlo2_mp,lpm,16.305282429747372,0.0
COtemp_mp,degC,26.509225092250922,0.0
VOC_mp,ppm,12.395761746909223,0.0
CH4_mp,ppm,0.0,0.0
CH4temp_mp,degC,27.47414135679818,0.0
Ctemp1_mp,degC,29.991010502412713,0.0
Ctemp2_mp,degC,29.433309679250645,0.0
Ctemp3_mp,degC,29.10063582174283,0.0
TC1_mp,degC,334.6585949474879,0.0
TC2_mp,degC,530.4352341754187,0.0
TC3_mp,degC,nan,
TC4_mp,degC,nan,
TC5_mp,degC,nan,
TC6_mp,degC,-40.06429463525405,0.0
TC7_mp,degC,nan,
TC8_mp,degC,nan,
dP2_mp,mmH2O,0.2604220834516037,0.0
AmbTemp_mp,degC,26.436190746522854,0.0
AmbPres_mp,hPa,991.7064518875958,0.0
AmbRH_mp,%,41.48745387453875,0.0
AS1_415nm_mp,counts,0.0,0.0
AS1_445nm_mp,counts,0.0,0.0
AS1_480nm_mp,counts,0.0,0.0
AS1_515nm_mp,counts,0.0,0.0
AS1_555nm_mp,counts,0.0,0.0
AS1_590nm_mp,counts,0.0,0.0
AS1_630nm_mp,counts,0.0,0.0
AS1_680nm_mp,counts,0.0,0.0
AS1_CLEAR_mp,counts,0.0,0.0
AS1_NIR_mp,counts,0.0,0.0
AS2_415nm_mp,counts,0.0,0.0
AS2_445nm_mp,counts,0.0,0.0
AS2_480nm_mp,counts,0.0,0.0
AS2_515nm_mp,counts,0.0,0.0
AS2_555nm_mp,counts,0.0,0.0
AS2_590nm_mp,counts,0.0,0.0
AS2_630nm_mp,counts,0.0,0.0
AS2_680nm_mp,counts,0.0,0.0
AS2_CLEAR_mp,counts,0.0,0.0
AS2_NIR_mp,counts,0.0,0.0
AS3_415nm_mp,counts,0.0,0.0
AS3_445nm_mp,counts,0.0,0.0
AS3_480nm_mp,counts,0.0,0.0
AS3_515nm_mp,counts,0.0,0.0
AS3_555nm_mp,counts,0.0,0.0
AS3_590nm_mp,counts,0.0,0.0
AS3_630nm_mp,counts,0.0,0.0
AS3_680nm_mp,counts,0.0,0.0
AS3_CLEAR_mp,counts,0.0,0.0
AS3_NIR_mp,counts,0.0,0.0
O2_1_mp,lambda,2.8352259437978997,0.0
O2_2_mp,lambda,0.019,0.0
O2_3_mp,lambda,0.024999148453022993,0.0
O2_4_mp,lambda,-0.0010000000000000005,0.0
O2_ave_mp,lambda,0.7195562730627307,0.0
datenumbers_mp,date,19549.467488425926,
phase_mp,text,mp,
time_lp,yyyymmdd hh:mm:ss,20230711 12:21:46,
seconds_lp,s,11247.0,0.0
ID_lp,4003,4003.0,0.0
CO_lp,ppm,883.3732663809013,0.0
CO2_lp,ppm,7465.279797893806,0.0
PM_lp,Mm^-1,4408.889163407217,0.0
Flow_lp,mmH2O,14.854482692716074,0.0
FLUEtemp_lp,degC,54.46224463792737,0.0
H2Otemp_lp,degC,24.750518156721174,0.0
RH_lp,%,57.30008494372479,0.0
GravFlo1_lp,lpm,0.001246549161180718,0.0
GravFlo2_lp,lpm,16.04211297515396,0.0
COtemp_lp,degC,30.398810787853048,0.0
VOC_lp,ppm,41.171119096153845,0.0
CH4_lp,ppm,-43.76236992992143,0.0
CH4temp_lp,degC,30.135081758335097,0.0
Ctemp1_lp,degC,33.18022510087067,0.0
Ctemp2_lp,degC,32.55603949883202,0.0
Ctemp3_lp,degC,32.14954555107242,0.0
TC1_lp,degC,365.71811401628804,0.0
TC2_lp,degC,653.5270885538331,0.0
TC3_lp,degC,308.2239971550498,0.0
TC4_lp,degC,nan,
TC5_lp,degC,nan,
TC6_lp,degC,-36.17878530473561,0.0
TC7_lp,degC,nan,
TC8_lp,degC,nan,
dP2_lp,mmH2O,0.2948237417710766,0.0
AmbTemp_lp,degC,28.874134635803777,0.0
AmbPres_lp,hPa,991.1871501380335,0.0
AmbRH_lp,%,36.78375451263538,0.0
AS1_415nm_lp,counts,0.0,0.0
AS1_445nm_lp,counts,0.0,0.0
AS1_480nm_lp,counts,0.0,0.0
AS1_515nm_lp,counts,0.0,0.0
AS1_555nm_lp,counts,0.0,0.0
AS1_590nm_lp,counts,0.0,0.0
AS1_630nm_lp,counts,0.0,0.0
AS1_680nm_lp,counts,0.0,0.0
AS1_CLEAR_lp,counts,0.0,0.0
AS1_NIR_lp,counts,0.0,0.0
AS2_415nm_lp,counts,0.0,0.0
AS2_445nm_lp,counts,0.0,0.0
AS2_480nm_lp,counts,0.0,0.0
AS2_515nm_lp,counts,0.0,0.0
AS2_555nm_lp,counts,0.0,0.0
AS2_590nm_lp,counts,0.0,0.0
AS2_630nm_lp,counts,0.0,0.0
AS2_680nm_lp,counts,0.0,0.0
AS2_CLEAR_lp,counts,0.0,0.0
AS2_NIR_lp,counts,0.0,0.0
AS3_415nm_lp,counts,0.0,0.0
AS3_445nm_lp,counts,0.0,0.0
AS3_480nm_lp,counts,0.0,0.0
AS3_515nm_lp,counts,0.0,0.0
AS3_555nm_lp,counts,0.0,0.0
AS3_590nm_lp,counts,0.0,0.0
AS3_630nm_lp,counts,0.0,0.0
AS3_680nm_lp,counts,0.0,0.0
AS3_CLEAR_lp,counts,0.0,0.0
AS3_NIR_lp,counts,0.0,0.0
O2_1_lp,lambda,2.1008810787853047,0.0
O2_2_lp,lambda,0.019,0.0
O2_3_lp,lambda,0.02499936292206413,0.0
O2_4_lp,lambda,-0.001,0.0
O2_ave_lp,lambda,0.5359701104268422,0.0
datenumbers_lp,date,19549.515115740738,
phase_lp,text,lp,
time_postbkg,yyyymmdd hh:mm:ss,20230711 18:37:46,
seconds_postbkg,s,33807.0,0.0
ID_postbkg,4003,4003.0,0.0
CO_postbkg,ppm,-3.1040701987143313,0.0
CO2_postbkg,ppm,-127.21735433601853,0.0
PM_postbkg,Mm^-1,1.323645612671978,0.0
Flow_postbkg,mmH2O,0.16451913477537436,0.0
FLUEtemp_postbkg,degC,26.2405990016639,0.0
H2Otemp_postbkg,degC,23.059467554076537,0.0
RH_postbkg,%,42.74625623960067,0.0
GravFlo1_postbkg,lpm,0.0,0.0
GravFlo2_postbkg,lpm,0.016139767054908483,0.0
COtemp_postbkg,degC,30.0,0.0
