time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text
20230605 11:23:49,751.0,0.06970152360515014,18.23232,-0.031769098712446375,10466.0,19.30368,18.900000000000002,4.180000000000001,-17.328,23.005364806866964,55.0,19513.474872685187,prebkg
20230605 11:23:51,753.0,-0.10197347639484988,18.23232,-0.031769098712446375,10455.0,19.296,18.900000000000002,2.0900000000000003,-16.416,11.005364806866964,55.0,19513.474895833333,prebkg
20230605 11:23:53,755.0,-0.10197347639484988,18.24384,-0.031769098712446375,10492.0,19.30368,18.900000000000002,4.180000000000001,-16.872,16.005364806866964,55.0,19513.474918981483,prebkg
20230605 11:23:55,757.0,0.0010315236051501309,18.23232,0.03583090128755373,10477.0,19.30368,18.900000000000002,1.6720000000000002,-17.784000000000002,18.005364806866964,55.0,19513.47494212963,prebkg
20230605 11:23:57,759.0,0.24137652360515016,18.23616,0.03583090128755373,10472.0,19.296,19.0,3.3440000000000003,-16.872,8.005364806866964,55.0,19513.47496527778,prebkg
20230605 11:23:59,761.0,0.20704152360515016,18.23232,0.03583090128755373,10551.0,19.30752,18.900000000000002,1.6720000000000002,-17.784000000000002,-1.9946351931330355,55.0,19513.474988425925,prebkg
20230605 11:24:01,763.0,-0.1363084763948499,18.24384,0.03583090128755373,10664.0,19.29984,18.900000000000002,5.016000000000001,-16.872,-4.9946351931330355,55.0,19513.475011574075,prebkg
20230605 11:24:03,765.0,0.10403652360515014,18.240000000000002,0.03583090128755373,10479.0,19.29216,19.0,1.6720000000000002,-18.696,-4.9946351931330355,55.0,19513.47503472222,prebkg
20230605 11:24:05,767.0,0.06970152360515014,18.240000000000002,0.10343090128755383,10466.0,19.29984,19.0,4.598000000000001,-15.960000000000003,-4.9946351931330355,55.0,19513.47505787037,prebkg
20230605 11:24:07,769.0,-0.033303476394849874,18.23616,-0.031769098712446375,10460.0,19.31136,19.0,1.6720000000000002,-18.24,8.005364806866964,55.0,19513.475081018518,prebkg
20230605 11:24:09,771.0,-0.1363084763948499,18.23616,0.03583090128755373,10484.0,19.30368,19.0,3.762,-15.504,11.005364806866964,55.0,19513.475104166668,prebkg
20230605 11:24:11,773.0,0.06970152360515014,18.24768,0.10343090128755383,10443.0,19.31136,19.0,0.8360000000000001,-16.872,13.005364806866964,55.0,19513.475127314814,prebkg
20230605 11:24:13,775.0,-0.033303476394849874,18.24384,0.03583090128755373,10483.0,19.29984,19.0,4.598000000000001,-17.784000000000002,16.005364806866964,55.0,19513.475150462964,prebkg
20230605 11:24:15,777.0,0.035366523605150135,18.24768,0.1710309012875535,10584.0,19.29984,19.0,1.2540000000000002,-16.872,13.005364806866964,55.0,19513.47517361111,prebkg
20230605 11:24:17,779.0,0.035366523605150135,18.24768,0.1710309012875535,10550.0,19.29984,19.0,2.926,-16.872,26.005364806866964,55.0,19513.47519675926,prebkg
20230605 11:24:19,781.0,0.13837152360515015,18.240000000000002,0.10343090128755383,10453.0,19.3152,19.0,2.0900000000000003,-15.960000000000003,21.005364806866964,55.0,19513.475219907406,prebkg
20230605 11:24:21,783.0,0.035366523605150135,18.25152,0.1710309012875535,10468.0,19.31136,19.0,4.180000000000001,-16.872,11.005364806866964,55.0,19513.475243055556,prebkg
20230605 11:24:23,785.0,0.10403652360515014,18.25152,0.1710309012875535,10475.0,19.29984,19.0,1.6720000000000002,-19.152,11.005364806866964,55.0,19513.475266203703,prebkg
20230605 11:24:25,787.0,0.13837152360515015,18.25152,0.10343090128755383,10463.0,19.30368,19.0,4.180000000000001,-17.328,16.005364806866964,55.0,19513.475289351853,prebkg
20230605 11:24:27,789.0,0.10403652360515014,18.25152,0.03583090128755373,10469.0,19.30368,19.0,1.2540000000000002,-17.328,18.005364806866964,55.0,19513.4753125,prebkg
20230605 11:24:29,791.0,0.13837152360515015,18.25152,0.03583090128755373,10485.0,19.30368,19.0,3.762,-16.416,16.005364806866964,55.0,19513.47533564815,prebkg
20230605 11:24:31,793.0,-0.06763847639484988,18.25152,0.10343090128755383,10470.0,19.30368,19.0,1.6720000000000002,-17.328,16.005364806866964,55.0,19513.475358796295,prebkg
