Energy Outputs,units,5.31,7.11,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
max_water_temp_pot3_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot4_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot1_mass_lp,lb,,245.9,245.9,1,nan,nan,nan,nan,nan,nan-nan
final_pot2_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot3_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot4_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_char_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
Hvap,kJ/kg,2266.6915642583494,2261.1113480275867,2263.901,2,3.946,17.617,2281.518,2246.284,0.174,2281.518-2246.284
phase_time_L1,min,72.58333333333333,24.466666666666665,48.525,2,34.024,151.9,200.425,-103.375,70.116,200.425--103.375
time_to_boil_L1,min,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mass_lb_L1,lb,9.331999999999995,9.221000000000014,9.277,2,0.078,0.348,9.625,8.929,0.841,9.625-8.929
fuel_mass_L1,kg,4.232920543999998,4.182571832000006,4.208,2,0.036,0.161,4.369,4.047,0.856,4.369-4.047
fuel_dry_mass_L1,kg,3.640311667839998,3.5970117755200053,3.619,2,0.031,0.138,3.757,3.481,0.857,3.757-3.481
char_mass_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot1_L1,kg,11.860000000000014,9.48599999999999,10.673,2,1.679,7.496,18.169,3.177,15.731,18.169-3.177
final_water_mass_pot1_L1,kg,3.1200000000000045,0.26499999999998636,1.692,2,2.019,9.014,10.706,-7.322,119.326,10.706--7.322
useful_energy_delivered_pot1_L1,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot2_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot2_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot2_L1,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot3_L1,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
