time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,COconc,CO2conc,PMconc,Cconc,MCE,CER_CO,CER_CO2,CER_PM,EFmass_CO,EFmass_CO2,EFmass_PM,EFmass_dry_CO,EFmass_dry_CO2,EFmass_dry_PM,EFenergy_CO,EFenergy_CO2,EFenergy_PM,ER_CO,ER_CO2,ER_PM,ER_PM_heat,Realtime_conc_PM,PM_flowrate
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 14:28:31,11833.0,520.3136215236051,32.0064,1544.1550309012878,14111.0,27.97056,320.20000000000005,2686.068,2590.08,5035.005364806867,35.0,19513.603136574075,test,0.6062018764359097,9.217014656434742,24.18225774995314,2.7751788719558195,0.9063395598337558,0.21843704654925047,3.3212326418221143,8.713765442048999,17.254860760465398,262.3520492199672,688.3210141188691,24.706082895610145,375.6443802034412,985.5608961258603,4.423812084938825,67.2619838525114,176.4721757450027,0.6128190082943945,9.317625036728844,24.44622458078532,1.466773474847119,24182.25774995314,4.3133399966279775
20230605 14:28:33,11835.0,519.9359365236052,32.0064,1727.1482309012877,14128.0,27.9744,320.1,2686.068,2630.208,5027.005364806867,35.0,19513.60315972222,test,0.6057618469109642,9.202369961561748,27.048024878468624,2.7709937703504735,0.9062661909908989,0.21860815906285777,3.3209637856377565,9.761127999594025,17.268377344045472,262.330811631843,771.0546684218249,24.72543638904197,375.6139715191879,1104.021691019603,4.427277475162408,67.25653894627293,197.6834822178516,0.6132990596526788,9.316870768243371,27.3845708639773,1.643074251838638,27048.024878468623,4.824501034785032
20230605 14:28:35,11837.0,519.8329315236051,32.02176,1648.8674309012877,14136.0,27.98208,320.1,2683.978,2626.1040000000003,5004.005364806867,35.0,19513.60318287037,test,0.6056418388587064,9.160266463801895,25.822107503211537,2.7594525840545194,0.9058928043080237,0.21947898012758188,3.319595530191184,9.35769204820711,17.337165566814758,262.2227298866065,739.1863050790822,24.8239296517563,375.4592164855551,1058.3915096218373,4.444913443102843,67.2288288802587,189.51305112368357,0.6157421237286518,9.31303216595906,26.25274261622862,1.5751645569737172,25822.107503211537,4.605836652743706
20230605 14:28:37,11839.0,519.5925865236051,32.0064,1639.9442309012875,14119.0,27.98208,320.0,2690.666,2603.76,5004.005364806867,35.0,19513.603206018517,test,0.6053618200701046,9.160266463801895,25.682365626239225,2.759332518875972,0.9059322218775082,0.2193870495596166,3.31973997375763,9.307455861354855,17.329903753056836,262.23413982675237,735.2180294455947,24.81353194555824,375.4755536169287,1052.709600731665,4.443051654711338,67.2317541679099,188.4956621138567,0.6154842150983055,9.313437398333981,26.11180640282697,1.5667083841696183,25682.365626239225,4.580911179143141
20230605 14:28:39,11841.0,519.6612565236051,32.0064,1594.2466309012877,14129.0,27.98976,320.0,2684.396,2629.2960000000003,5083.005364806867,35.0,19513.603229166667,test,0.6054418254382765,9.304882825672697,24.9667178320477,2.798831547276966,0.9072475141488606,0.21631949447880203,3.3245597916479066,8.920407466586646,17.08759029647666,262.6148686815933,704.6441580955199,24.46657948803924,376.02069384025657,1008.9329159759488,4.380927177878772,67.3293656718514,180.6571136932447,0.6068782753449066,9.326959262259264,25.02595298560311,1.5015571791361866,24966.7178320477,4.453262541612971
20230605 14:28:41,11843.0,520.4166265236051,31.998720000000002,1449.8530309012876,14216.0,27.98976,320.0,2689.8300000000004,2639.3280000000004,5058.005364806867,35.0,19513.603252314813,test,0.6063218844881676,9.259118154194596,22.705440186495764,2.7867200582517735,0.9067089891491905,0.217575454948474,3.3225863957082327,8.147729126670814,17.186801594959185,262.4589854525245,643.6084620975464,24.608633521306572,375.7974950539625,921.5399786552238,4.4063630331593355,67.2894002312624,165.00874345619596,0.6104018372206979,9.321422955291979,22.858225571787262,1.3714935343072356,22705.440186495765,4.049923059712907
20230605 14:28:43,11845.0,521.0346565236051,32.01024,1507.0426309012878,14218.0,27.98976,320.0,2686.904,2587.8,5090.005364806867,36.0,19513.603275462963,test,0.6070419328017147,9.317696933686566,23.601058579818304,2.8030145082956968,0.9071411619694598,0.21656753149337477,3.3241700697981615,8.419884559986933,17.107183328965906,262.5840836276892,665.1066657276479,24.494633442897268,375.9766147773039,952.321820848291,4.385950451906292,67.3214729803144,170.52046646245876,0.6075741362333961,9.325865908539074,23.621750007689716,1.417305000461383,23601.058579818302,4.2096726859710785
20230605 14:28:45,11847.0,521.4123415236052,32.01024,1416.5262309012876,13930.0,27.9744,319.8,2688.5760000000005,2625.192,5074.005364806867,35.0,19513.60329861111,test,0.6074819623266603,9.28840754394058,22.183525449015846,2.795210326641013,0.906814402625617,0.2173296071987068,3.3229726777313404,7.936263413735185,17.16738149769308,262.4894987863581,626.9042835254646,24.580827180846473,375.841185059091,897.6223808122726,4.401384096373399,67.29722325903637,160.7261156180471,0.609712118253225,9.322506658675001,22.26496444444337,1.3358978666666022,22183.525449015848,3.956830192401703
20230605 14:28:47,11849.0,521.3436715236052,32.01024,1391.2438309012875,14041.0,27.97056,319.90000000000003,2688.5760000000005,2629.7520000000004,5043.005364806867,35.0,19513.60332175926,test,0.6074019569584884,9.231659351307735,21.787590130927633,2.779689864760079,0.906306439779447,0.21851428990655208,3.321111275161821,7.838137055195604,17.26096239659336,262.34246217941063,619.1530495645612,24.71481942093301,375.6306531602618,886.5239065075643,4.425376426257801,67.25952592100667,158.73884936620934,0.6130357123671089,9.31728454596697,21.98967369739416,1.3193804218436496,21787.590130927634,3.886208017200101
20230605 14:28:49,11851.0,520.5539665236051,32.00256,1343.8562309012877,14022.0,27.9936,319.8,2686.904,2599.656,5090.005364806867,35.0,19513.603344907406,test,0.6064818952245115,9.317696933686566,21.04547607215802,2.8027743779386025,0.9072188821501754,0.21638627068889132,3.3244548712264126,7.508801364038673,17.092865107802872,262.6065807684741,593.1380416520493,24.474132138141332,376.0088269309029,849.2747538810125,4.382279537333572,67.32724081145847,152.06910522913492,0.6070656141296552,9.326664910959124,21.065731651669623,1.2639438991001772,21045.47607215802,3.7538386460334605
