sep=,

firmware launcher:,6.84
firmware GUI,6.30

Household ID:,1
Sensor ID:,3944
Sensor Type:,EXACT 
Start time:,2023-02-03 03:07:57
Stop time:,2023-02-03 15:05:33
Total number of logs:,10764
Study arm:,0

Type of stove data logged:,usage and temperature
Stove Name:,Coal Hea
Cooking Events per day:,10.03
Cooking Time (min/day):,481.61
Number of days since last use:,0

Timestamp,Coal Hea Usage (EXACT 3944),Coal Hea Temperature (EXACT 3944)
2023-02-03 10:12:01,0,0
2023-02-03 10:12:05,0,0
2023-02-03 10:12:09,0,0
2023-02-03 10:12:13,0,0
2023-02-03 10:12:17,0,0
2023-02-03 10:12:21,0,0
2023-02-03 10:12:25,0,0
2023-02-03 10:12:29,0,0
2023-02-03 10:12:33,0,0
2023-02-03 10:12:37,0,0
2023-02-03 10:12:41,0,0
2023-02-03 10:12:45,0,0
2023-02-03 10:12:49,0,0
2023-02-03 10:12:53,0,0
2023-02-03 10:12:57,0,0
2023-02-03 10:13:01,0,0
2023-02-03 10:13:05,0,0
2023-02-03 10:13:09,0,0
2023-02-03 10:13:13,0,0
2023-02-03 10:13:17,0,0
2023-02-03 10:13:21,0,0
2023-02-03 10:13:25,0,0
2023-02-03 10:13:29,0,0
2023-02-03 10:13:33,0,0
2023-02-03 10:13:37,0,0
2023-02-03 10:13:41,0,0
2023-02-03 10:13:45,0,0
2023-02-03 10:13:49,0,0
2023-02-03 10:13:53,0,0
2023-02-03 10:13:57,0,0
2023-02-03 10:14:01,0,0
2023-02-03 10:14:05,0,0
2023-02-03 10:14:09,0,0
2023-02-03 10:14:13,0,0
2023-02-03 10:14:17,0,0
2023-02-03 10:14:21,0,0
2023-02-03 10:14:25,0,0
2023-02-03 10:14:29,0,0
2023-02-03 10:14:33,0,0
2023-02-03 10:14:37,0,0
2023-02-03 10:14:41,0,0
2023-02-03 10:14:45,0,0
2023-02-03 10:14:49,0,0
2023-02-03 10:14:53,0,0
2023-02-03 10:14:57,0,0
2023-02-03 10:15:01,0,0
2023-02-03 10:15:05,0,0
2023-02-03 10:15:09,0,0
2023-02-03 10:15:13,0,0
2023-02-03 10:15:17,0,0
2023-02-03 10:15:21,0,0
2023-02-03 10:15:25,0,0
2023-02-03 10:15:29,0,0
2023-02-03 10:15:33,0,0
2023-02-03 10:15:37,0,0
2023-02-03 10:15:41,0,0
2023-02-03 10:15:45,0,0
2023-02-03 10:15:49,0,0
2023-02-03 10:15:53,0,0
2023-02-03 10:15:57,0,0
2023-02-03 10:16:01,0,0
2023-02-03 10:16:05,0,0
2023-02-03 10:16:09,0,0
2023-02-03 10:16:13,0,0
2023-02-03 10:16:17,0,0
2023-02-03 10:16:21,0,0
2023-02-03 10:16:25,0,0
2023-02-03 10:16:29,0,0
2023-02-03 10:16:33,0,0
2023-02-03 10:16:37,0,0
2023-02-03 10:16:41,0,0
2023-02-03 10:16:45,0,0
2023-02-03 10:16:49,0,0
2023-02-03 10:16:53,0,0
2023-02-03 10:16:57,0,0
2023-02-03 10:17:01,0,0
2023-02-03 10:17:05,0,0
2023-02-03 10:17:09,0,0
2023-02-03 10:17:13,0,0
2023-02-03 10:17:17,0,0
2023-02-03 10:17:21,0,0
2023-02-03 10:17:25,0,0
2023-02-03 10:17:29,0,0
2023-02-03 10:17:33,0,0
2023-02-03 10:17:37,0,0
2023-02-03 10:17:41,0,0
2023-02-03 10:17:45,0,0
2023-02-03 10:17:49,0,0
2023-02-03 10:17:53,0,0
2023-02-03 10:17:57,0,0
2023-02-03 10:18:01,0,0
2023-02-03 10:18:05,0,0
2023-02-03 10:18:09,0,0
2023-02-03 10:18:13,0,0
2023-02-03 10:18:17,0,0
2023-02-03 10:18:21,0,0
2023-02-03 10:18:25,0,0
2023-02-03 10:18:29,0,0
2023-02-03 10:18:33,0,0
2023-02-03 10:18:37,0,0
2023-02-03 10:18:41,0,0
2023-02-03 10:18:45,0,0
2023-02-03 10:18:49,0,0
2023-02-03 10:18:53,0,0
2023-02-03 10:18:57,0,0
2023-02-03 10:19:01,0,0
2023-02-03 10:19:05,0,0
2023-02-03 10:19:09,0,0
2023-02-03 10:19:13,0,0
2023-02-03 10:19:17,0,0
2023-02-03 10:19:21,0,0
2023-02-03 10:19:25,0,0
2023-02-03 10:19:29,0,0
2023-02-03 10:19:33,0,0
2023-02-03 10:19:37,0,0
2023-02-03 10:19:41,0,0
2023-02-03 10:19:45,0,0
2023-02-03 10:19:49,0,0
2023-02-03 10:19:53,0,0
2023-02-03 10:19:57,0,0
2023-02-03 10:20:01,0,0
2023-02-03 10:20:05,0,0
2023-02-03 10:20:09,0,0
2023-02-03 10:20:13,0,0
2023-02-03 10:20:17,0,0
2023-02-03 10:20:21,0,0
2023-02-03 10:20:25,0,0
2023-02-03 10:20:29,0,0
2023-02-03 10:20:33,0,0
2023-02-03 10:20:37,0,0
2023-02-03 10:20:41,0,0
2023-02-03 10:20:45,0,0
2023-02-03 10:20:49,0,0
2023-02-03 10:20:53,0,0
2023-02-03 10:20:57,0,0
2023-02-03 10:21:01,0,0
2023-02-03 10:21:05,0,0
2023-02-03 10:21:09,0,0
2023-02-03 10:21:13,0,0
2023-02-03 10:21:17,0,0
2023-02-03 10:21:21,0,0
2023-02-03 10:21:25,0,0
2023-02-03 10:21:29,0,0
2023-02-03 10:21:33,0,0
2023-02-03 10:21:37,0,0
2023-02-03 10:21:41,0,0
2023-02-03 10:21:45,0,0
2023-02-03 10:21:49,0,0
2023-02-03 10:21:53,0,0
2023-02-03 10:21:57,0,0
2023-02-03 10:22:01,0,0
2023-02-03 10:22:05,0,0
2023-02-03 10:22:09,0,0
2023-02-03 10:22:13,0,0
2023-02-03 10:22:17,0,0
2023-02-03 10:22:21,0,0
2023-02-03 10:22:25,0,0
2023-02-03 10:22:29,0,0
2023-02-03 10:22:33,0,0
2023-02-03 10:22:37,0,0
2023-02-03 10:22:41,0,0
2023-02-03 10:22:45,0,0
2023-02-03 10:22:49,0,0
2023-02-03 10:22:53,0,0
2023-02-03 10:22:57,0,0
2023-02-03 10:23:01,0,0
2023-02-03 10:23:05,0,0
2023-02-03 10:23:09,0,0
2023-02-03 10:23:13,0,0
2023-02-03 10:23:17,0,0
2023-02-03 10:23:21,0,0
2023-02-03 10:23:25,0,0
2023-02-03 10:23:29,0,0
2023-02-03 10:23:33,0,0
2023-02-03 10:23:37,0,0
2023-02-03 10:23:41,0,0
2023-02-03 10:23:45,0,0
2023-02-03 10:23:49,0,0
2023-02-03 10:23:53,0,0
2023-02-03 10:23:57,0,0
2023-02-03 10:24:01,0,0
2023-02-03 10:24:05,0,0
2023-02-03 10:24:09,0,0
2023-02-03 10:24:13,0,0
2023-02-03 10:24:17,0,0
2023-02-03 10:24:21,0,0
2023-02-03 10:24:25,0,0
2023-02-03 10:24:29,0,0
2023-02-03 10:24:33,0,0
2023-02-03 10:24:37,0,0
2023-02-03 10:24:41,0,0
2023-02-03 10:24:45,0,0
2023-02-03 10:24:49,0,0
2023-02-03 10:24:53,0,0
2023-02-03 10:24:57,0,0
2023-02-03 10:25:01,0,0
2023-02-03 10:25:05,0,0
2023-02-03 10:25:09,0,0
2023-02-03 10:25:13,0,0
2023-02-03 10:25:17,0,0
2023-02-03 10:25:21,0,0
2023-02-03 10:25:25,0,0
2023-02-03 10:25:29,0,0
2023-02-03 10:25:33,0,0
2023-02-03 10:25:37,0,0
2023-02-03 10:25:41,0,0
2023-02-03 10:25:45,0,0
2023-02-03 10:25:49,0,0
2023-02-03 10:25:53,0,0
2023-02-03 10:25:57,0,0
2023-02-03 10:26:01,0,0
2023-02-03 10:26:05,0,0
2023-02-03 10:26:09,0,0
2023-02-03 10:26:13,0,0
2023-02-03 10:26:17,0,0
2023-02-03 10:26:21,0,0
2023-02-03 10:26:25,0,0
2023-02-03 10:26:29,0,0
2023-02-03 10:26:33,0,0
2023-02-03 10:26:37,0,0
2023-02-03 10:26:41,0,0
2023-02-03 10:26:45,0,0
2023-02-03 10:26:49,0,0
2023-02-03 10:26:53,0,0
2023-02-03 10:26:57,0,0
2023-02-03 10:27:01,0,0
2023-02-03 10:27:05,0,0
2023-02-03 10:27:09,0,0
2023-02-03 10:27:13,0,0
2023-02-03 10:27:17,0,0
2023-02-03 10:27:21,0,0
2023-02-03 10:27:25,0,0
2023-02-03 10:27:29,0,0
2023-02-03 10:27:33,0,0
2023-02-03 10:27:37,0,0
2023-02-03 10:27:41,0,0
2023-02-03 10:27:45,0,0
2023-02-03 10:27:49,0,0
2023-02-03 10:27:53,0,0
2023-02-03 10:27:57,0,0
2023-02-03 10:28:01,0,0
2023-02-03 10:28:05,0,0
2023-02-03 10:28:09,0,0
2023-02-03 10:28:13,0,0
2023-02-03 10:28:17,0,0
2023-02-03 10:28:21,0,0
2023-02-03 10:28:25,0,0
2023-02-03 10:28:29,0,0
2023-02-03 10:28:33,0,0
2023-02-03 10:28:37,0,0
2023-02-03 10:28:41,0,0
2023-02-03 10:28:45,0,0
2023-02-03 10:28:49,0,0
2023-02-03 10:28:53,0,0
2023-02-03 10:28:57,0,0
2023-02-03 10:29:01,0,0
2023-02-03 10:29:05,0,0
2023-02-03 10:29:09,0,0
2023-02-03 10:29:13,0,0
2023-02-03 10:29:17,0,0
2023-02-03 10:29:21,0,0
2023-02-03 10:29:25,0,0
2023-02-03 10:29:29,0,0
2023-02-03 10:29:33,0,0
2023-02-03 10:29:37,0,0
2023-02-03 10:29:41,0,0
2023-02-03 10:29:45,0,0
2023-02-03 10:29:49,0,0
2023-02-03 10:29:53,0,0
2023-02-03 10:29:57,0,0
2023-02-03 10:30:01,0,0
2023-02-03 10:30:05,0,0
2023-02-03 10:30:09,0,0
2023-02-03 10:30:13,0,0
2023-02-03 10:30:17,0,0
2023-02-03 10:30:21,0,0
2023-02-03 10:30:25,0,0
2023-02-03 10:30:29,0,0
2023-02-03 10:30:33,0,0
2023-02-03 10:30:37,0,0
2023-02-03 10:30:41,0,0
2023-02-03 10:30:45,0,0
2023-02-03 10:30:49,0,0
2023-02-03 10:30:53,0,0
2023-02-03 10:30:57,0,0
2023-02-03 10:31:01,0,0
2023-02-03 10:31:05,0,0
2023-02-03 10:31:09,0,0
2023-02-03 10:31:13,0,0
2023-02-03 10:31:17,0,0
2023-02-03 10:31:21,0,0
2023-02-03 10:31:25,0,0
2023-02-03 10:31:29,0,0
2023-02-03 10:31:33,0,0
2023-02-03 10:31:37,0,0
2023-02-03 10:31:41,0,0
2023-02-03 10:31:45,0,0
2023-02-03 10:31:49,0,0
2023-02-03 10:31:53,0,0
2023-02-03 10:31:57,0,0
2023-02-03 10:32:01,0,0
2023-02-03 10:32:05,0,0
2023-02-03 10:32:09,0,0
2023-02-03 10:32:13,0,0
2023-02-03 10:32:17,0,0
2023-02-03 10:32:21,0,0
2023-02-03 10:32:25,0,0
2023-02-03 10:32:29,0,0
2023-02-03 10:32:33,0,0
2023-02-03 10:32:37,0,0
2023-02-03 10:32:41,0,0
2023-02-03 10:32:45,0,0
2023-02-03 10:32:49,0,0
2023-02-03 10:32:53,0,0
2023-02-03 10:32:57,0,0
2023-02-03 10:33:01,0,0
2023-02-03 10:33:05,0,0
2023-02-03 10:33:09,0,0
2023-02-03 10:33:13,0,0
2023-02-03 10:33:17,0,0
2023-02-03 10:33:21,0,0
2023-02-03 10:33:25,0,0
2023-02-03 10:33:29,0,0
2023-02-03 10:33:33,0,0
2023-02-03 10:33:37,0,0
2023-02-03 10:33:41,0,0
2023-02-03 10:33:45,0,0
2023-02-03 10:33:49,0,0
2023-02-03 10:33:53,0,0
2023-02-03 10:33:57,0,0
2023-02-03 10:34:01,0,0
2023-02-03 10:34:05,0,0
2023-02-03 10:34:09,0,0
2023-02-03 10:34:13,0,0
2023-02-03 10:34:17,0,0
2023-02-03 10:34:21,0,0
2023-02-03 10:34:25,0,0
2023-02-03 10:34:29,0,0
2023-02-03 10:34:33,0,0
2023-02-03 10:34:37,0,0
2023-02-03 10:34:41,0,0
2023-02-03 10:34:45,0,0
2023-02-03 10:34:49,0,0
2023-02-03 10:34:53,0,0
2023-02-03 10:34:57,0,0
2023-02-03 10:35:01,0,0
2023-02-03 10:35:05,0,0
2023-02-03 10:35:09,0,0
2023-02-03 10:35:13,0,0
2023-02-03 10:35:17,0,0
2023-02-03 10:35:21,0,0
2023-02-03 10:35:25,0,0
2023-02-03 10:35:29,0,0
2023-02-03 10:35:33,0,0
2023-02-03 10:35:37,0,0
2023-02-03 10:35:41,0,0
2023-02-03 10:35:45,0,0
2023-02-03 10:35:49,0,0
2023-02-03 10:35:53,0,0
2023-02-03 10:35:57,0,0
2023-02-03 10:36:01,0,0
2023-02-03 10:36:05,0,0
2023-02-03 10:36:09,0,0
2023-02-03 10:36:13,0,0
2023-02-03 10:36:17,0,0
2023-02-03 10:36:21,0,0
2023-02-03 10:36:25,0,0
2023-02-03 10:36:29,0,0
2023-02-03 10:36:33,0,0
2023-02-03 10:36:37,0,0
2023-02-03 10:36:41,0,0
2023-02-03 10:36:45,0,0
2023-02-03 10:36:49,0,0
2023-02-03 10:36:53,0,0
2023-02-03 10:36:57,0,0
2023-02-03 10:37:01,0,0
2023-02-03 10:37:05,0,0
2023-02-03 10:37:09,0,0
2023-02-03 10:37:13,0,0
2023-02-03 10:37:17,0,0
2023-02-03 10:37:21,0,0
2023-02-03 10:37:25,0,0
2023-02-03 10:37:29,0,0
2023-02-03 10:37:33,0,0
2023-02-03 10:37:37,0,0
2023-02-03 10:37:41,0,0
2023-02-03 10:37:45,0,0
2023-02-03 10:37:49,0,0
2023-02-03 10:37:53,0,0
2023-02-03 10:37:57,0,0
2023-02-03 10:38:01,0,0
2023-02-03 10:38:05,0,0
2023-02-03 10:38:09,0,0
2023-02-03 10:38:13,0,0
2023-02-03 10:38:17,0,0
2023-02-03 10:38:21,0,0
2023-02-03 10:38:25,0,0
2023-02-03 10:38:29,0,0
2023-02-03 10:38:33,0,0
2023-02-03 10:38:37,0,0
2023-02-03 10:38:41,0,0
2023-02-03 10:38:45,0,0
2023-02-03 10:38:49,0,0
2023-02-03 10:38:53,0,0
2023-02-03 10:38:57,0,0
2023-02-03 10:39:01,0,0
2023-02-03 10:39:05,0,0
2023-02-03 10:39:09,0,0
2023-02-03 10:39:13,0,0
2023-02-03 10:39:17,0,0
2023-02-03 10:39:21,0,0
2023-02-03 10:39:25,0,0
2023-02-03 10:39:29,0,0
2023-02-03 10:39:33,0,0
2023-02-03 10:39:37,0,0
2023-02-03 10:39:41,0,0
2023-02-03 10:39:45,0,0
2023-02-03 10:39:49,0,0
2023-02-03 10:39:53,0,0
2023-02-03 10:39:57,0,0
2023-02-03 10:40:01,0,0
2023-02-03 10:40:05,0,0
2023-02-03 10:40:09,0,0
2023-02-03 10:40:13,0,0
2023-02-03 10:40:17,0,0
2023-02-03 10:40:21,0,0
2023-02-03 10:40:25,0,0
2023-02-03 10:40:29,0,0
2023-02-03 10:40:33,0,0
2023-02-03 10:40:37,0,0
2023-02-03 10:40:41,0,0
2023-02-03 10:40:45,0,0
2023-02-03 10:40:49,0,0
2023-02-03 10:40:53,0,0
2023-02-03 10:40:57,0,0
2023-02-03 10:41:01,0,0
2023-02-03 10:41:05,0,0
2023-02-03 10:41:09,0,0
2023-02-03 10:41:13,0,0
2023-02-03 10:41:17,0,0
2023-02-03 10:41:21,0,0
2023-02-03 10:41:25,0,0
2023-02-03 10:41:29,0,0
2023-02-03 10:41:33,0,0
2023-02-03 10:41:37,0,0
2023-02-03 10:41:41,0,0
2023-02-03 10:41:45,0,0
2023-02-03 10:41:49,0,0
2023-02-03 10:41:53,0,0
2023-02-03 10:41:57,0,0
2023-02-03 10:42:01,0,0
2023-02-03 10:42:05,0,0
2023-02-03 10:42:09,0,0
2023-02-03 10:42:13,0,0
2023-02-03 10:42:17,0,0
2023-02-03 10:42:21,0,0
2023-02-03 10:42:25,0,0
2023-02-03 10:42:29,0,0
2023-02-03 10:42:33,0,0
2023-02-03 10:42:37,0,0
2023-02-03 10:42:41,0,0
2023-02-03 10:42:45,0,0
2023-02-03 10:42:49,0,0
2023-02-03 10:42:53,0,0
2023-02-03 10:42:57,0,0
2023-02-03 10:43:01,0,0
2023-02-03 10:43:05,0,0
2023-02-03 10:43:09,0,0
2023-02-03 10:43:13,0,0
2023-02-03 10:43:17,0,0
2023-02-03 10:43:21,0,0
2023-02-03 10:43:25,0,0
2023-02-03 10:43:29,0,0
2023-02-03 10:43:33,0,0
2023-02-03 10:43:37,0,0
2023-02-03 10:43:41,0,0
2023-02-03 10:43:45,0,0
2023-02-03 10:43:49,0,0
2023-02-03 10:43:53,0,0
2023-02-03 10:43:57,0,0
2023-02-03 10:44:01,0,0
2023-02-03 10:44:05,0,0
2023-02-03 10:44:09,0,0
2023-02-03 10:44:13,0,0
2023-02-03 10:44:17,0,0
2023-02-03 10:44:21,0,0
2023-02-03 10:44:25,0,0
2023-02-03 10:44:29,0,0
2023-02-03 10:44:33,0,0
2023-02-03 10:44:37,0,0
2023-02-03 10:44:41,0,0
2023-02-03 10:44:45,0,0
2023-02-03 10:44:49,0,0
2023-02-03 10:44:53,0,0
2023-02-03 10:44:57,0,0
2023-02-03 10:45:01,0,0
2023-02-03 10:45:05,0,0
2023-02-03 10:45:09,0,0
