time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,CO_bkg,PM_bkg,CO2_bkg
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,ppm,Mm^-1,ppm
20230605 13:20:19,7741.0,131.60708652360515,28.47744,43.36743090128756,14715.0,26.47296,348.8,2701.952,2624.736,5149.005364806867,38.0,19513.555775462963,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:21,7743.0,130.13068152360515,28.4736,52.020230901287555,14618.0,26.46144,348.5,2707.8040000000005,2624.736,5189.005364806867,38.0,19513.555798611113,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:23,7745.0,128.27659152360513,28.485120000000002,46.61223090128756,14706.0,26.46144,348.3,2700.698,2590.992,5142.005364806867,39.0,19513.55582175926,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:25,7747.0,127.07486652360514,28.4736,46.81503090128756,14715.0,26.46912,348.20000000000005,2706.9680000000003,2645.712,5110.005364806867,39.0,19513.55584490741,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:27,7749.0,126.28516152360514,28.4928,51.61463090128756,14625.0,26.47296,348.0,2704.878,2589.1680000000006,5071.005364806867,39.0,19513.555868055555,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:29,7751.0,126.31949652360514,28.48128,44.31383090128756,14926.0,26.48064,347.6,2705.2960000000003,2643.888,5025.005364806867,39.0,19513.555891203705,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:31,7753.0,126.80018652360515,28.485120000000002,44.584230901287555,14926.0,26.46144,347.3,2700.698,2606.952,5088.005364806867,39.0,19513.55591435185,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:33,7755.0,127.76156652360514,28.488960000000002,48.50503090128756,14536.0,26.48832,347.1,2708.222,2623.824,5103.005364806867,39.0,19513.5559375,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:35,7757.0,128.79161652360514,28.48128,37.95943090128756,14721.0,26.48064,347.3,2703.206,2647.0800000000004,5118.005364806867,39.0,19513.555960648147,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:20:37,7759.0,129.68432652360514,28.485120000000002,46.00383090128756,14959.0,26.48448,347.3,2705.714,2613.792,5079.005364806867,39.0,19513.555983796297,none,-1.37443152360515,2.803369098712446,869.994635193133
