time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,COconc,CO2conc,PMconc,Cconc,MCE,CER_CO,CER_CO2,CER_PM,EFmass_CO,EFmass_CO2,EFmass_PM,EFmass_dry_CO,EFmass_dry_CO2,EFmass_dry_PM,EFenergy_CO,EFenergy_CO2,EFenergy_PM,ER_CO,ER_CO2,ER_PM,ER_PM_heat,Realtime_conc_PM,PM_flowrate
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 11:57:31,2773.0,961.8273865236051,19.17312,8857.596230901288,14209.0,19.6224,358.70000000000005,2783.8800000000006,2691.768,11781.005364806868,53.0,19513.498275462964,test,1.120596391097181,21.566153608085852,196.2746623416078,6.365726307953773,0.9245201278794796,0.17603590492054794,3.3878543570337962,30.83303504524988,43.46057777244057,836.4095258408984,7612.205692635679,57.17894388118389,1100.422861153755,10015.004503397371,4.457984535847577,85.79501062682122,780.824761215665,4.049312436268444,77.93001539313748,709.2450390332704,42.55470234199622,196274.66234160782,66.98904350382743
20230605 11:57:33,2775.0,957.913196523605,19.16928,8857.596230901288,14421.0,19.63008,358.40000000000003,2778.864,2659.8480000000004,11623.005364806868,53.0,19513.49829861111,test,1.1160360851113824,21.276920884344243,196.2746623416078,6.2848415126317585,0.9238598364774485,0.1775758518123786,3.3854347546521657,31.22985073642985,43.840767153056085,835.8121629476141,7710.17342947684,57.67914034364835,1099.6369401857773,10143.895834670917,4.496982599526155,85.7337359112734,790.8738373723752,4.084735471717361,77.8743578497563,718.372896863903,43.10237381183418,196274.66234160782,66.98904350382743
20230605 11:57:35,2777.0,953.621321523605,19.16928,8857.596230901288,14218.0,19.62624,358.0,2765.9060000000004,2653.92,11560.005364806868,53.0,19513.49832175926,test,1.1110357496006382,21.161593912219427,196.2746623416078,6.251225623028695,0.9237933697858101,0.17773086696914733,3.385191191030266,31.39778887816138,43.87903802898731,835.7520308073165,7751.634793128627,57.72949145215439,1099.5578272873354,10198.444510896437,4.500908248512417,85.7275678351618,795.1267517943281,4.088301248837643,77.86875521315993,722.2359383618532,43.33415630171119,196274.66234160782,66.98904350382743
20230605 11:57:37,2779.0,949.2264415236051,19.16928,8857.596230901288,14436.0,19.6224,357.8,2769.25,2670.792,11513.005364806868,53.0,19513.498344907406,test,1.1059154060376362,21.075556329840595,196.2746623416078,6.225551132427225,0.9238317456876846,0.17764136580249412,3.3853318174616986,31.527274961933212,43.85694155715782,835.7867493266032,7783.602930633044,57.700420211331824,1099.6035047349828,10240.503416553925,4.498641694896207,85.73112909987618,798.4058950993422,4.086242474592963,77.87199000982214,725.2144762321681,43.512868573930085,196274.66234160782,66.98904350382743
20230605 11:57:39,2781.0,945.3809215236051,19.1808,8857.596230901288,14192.0,19.63776,357.40000000000003,2764.6520000000005,2621.544,11513.005364806868,53.0,19513.498368055556,test,1.1014351054200096,21.075556329840595,196.2746623416078,6.223630089570471,0.9241169040840473,0.1769763127898281,3.386376765090668,31.537006460349232,43.692750120230144,836.0447309452818,7786.005489042606,57.484401616111676,1099.9429184577834,10243.664344445657,4.481799698672073,85.7575916580277,798.6523384000359,4.07094441686899,77.89602669387898,725.4383275969069,43.52629965581441,196274.66234160782,66.98904350382743
20230605 11:57:41,2783.0,942.3251065236051,19.1808,8857.596230901288,14122.0,19.6224,357.20000000000005,2766.324,2645.712,11358.005364806868,53.0,19513.498391203702,test,1.0978748665363596,20.79181536667636,196.2746623416078,6.144672758865057,0.9233902610405492,0.1786710065157548,3.3837140206823126,31.94224819514399,44.11114413200488,835.387339997113,7886.0534874304085,58.03486203209495,1099.0780215314205,10375.292573485642,4.524716616255386,85.69015954296732,808.9147981397717,4.109927057274981,77.8347762117559,734.760007723129,44.085600463387735,196274.66234160782,66.98904350382743
20230605 11:57:43,2785.0,940.471016523605,19.16928,8857.596230901288,14227.0,19.63008,357.0,2765.488,2646.6240000000003,11328.005364806868,53.0,19513.498414351852,test,1.0957147215957181,20.736897760902636,196.2746623416078,6.128759937698369,0.9233424764989755,0.17878245072970003,3.383538916795996,32.02518361574429,44.138658007254605,835.3441095205069,7906.528976784221,58.07106068405708,1099.0211453203224,10402.231167418553,4.527538861993276,85.6857251611421,811.015078890321,4.112490582265423,77.83074833832394,736.6677516586377,44.20006509951826,196274.66234160782,66.98904350382743
20230605 11:57:45,2787.0,939.7499815236051,19.16928,8857.596230901288,14113.0,19.6416,357.1,2770.0860000000002,2672.616,11297.005364806868,53.0,19513.4984375,test,1.0948746652299133,20.68014956826979,196.2746623416078,6.112913584618523,0.9232026828251155,0.17910848077173316,3.3830266503857893,32.10820169869232,44.21914984785001,835.2176387634697,7927.024874209864,58.17695983846769,1098.8547539677477,10429.196611247477,4.535795341750979,85.6727523773457,813.1174530062439,4.119990174490075,77.81896479481064,738.5773970566509,44.314643823399045,196274.66234160782,66.98904350382743
20230605 11:57:47,2789.0,940.1620015236051,19.16928,8857.596230901288,14618.0,19.63776,357.1,2771.7580000000003,2684.9280000000003,11267.005364806868,53.0,19513.49846064815,test,1.0953546974389445,20.62523196249607,196.2746623416078,6.098132806563852,0.9229827876271494,0.1796213254424267,3.382220856242369,32.18602620958722,44.3457633685742,835.0187004897437,7946.238557974414,58.343539018201426,1098.5930206689234,10454.475109648405,4.548782769584383,85.65234621172814,815.0883035905946,4.13178701959307,77.80042930202298,740.3675759406432,44.42205455643859,196274.66234160782,66.98904350382743
20230605 11:57:49,2791.0,941.4667315236051,19.17312,8857.596230901288,13890.0,19.63776,357.3,2775.5200000000004,2638.8720000000003,11207.005364806868,53.0,19513.498483796295,test,1.0968747994342107,20.51539675094862,196.2746623416078,6.068811380811604,0.9225032807370087,0.18073964251093955,3.3804637289954833,32.34153280198985,44.62185878190642,834.5848925946792,7984.630761861979,58.7067841694149,1098.0222809650709,10504.98584337717,4.577103356795582,85.60784820947305,819.0263978360052,4.1575114035774865,77.76001051804745,743.9446574389995,44.63667944633997,196274.66234160782,66.98904350382743
