time,Battery level,Temperature,firewood,seconds
yyyymmdd hhmmss,%,C,kg,s
2023-03-22 18:25:44,83.0,16.18,1.331633,776
2023-03-22 18:25:48,83.0,16.18,1.331633,780
2023-03-22 18:25:52,83.0,16.18,1.331633,784
2023-03-22 18:25:56,83.0,16.18,1.331633,788
2023-03-22 18:26:00,82.0,16.18,1.331326,792
2023-03-22 18:26:04,82.0,16.18,1.331326,796
2023-03-22 18:26:08,83.0,16.18,1.331326,800
2023-03-22 18:26:12,82.0,16.18,1.331451,804
2023-03-22 18:26:16,83.0,16.18,1.331326,808
2023-03-22 18:26:20,83.0,16.18,1.331017,812
2023-03-22 18:26:24,82.0,16.18,1.331017,816
2023-03-22 18:26:28,83.0,16.18,1.331017,820
2023-03-22 18:26:32,83.0,16.18,1.331017,824
2023-03-22 18:26:36,82.0,16.18,1.331319,828
2023-03-22 18:26:40,83.0,16.18,1.331448,832
2023-03-22 18:26:44,83.0,16.18,1.331319,836
2023-03-22 18:26:48,83.0,16.18,1.331319,840
2023-03-22 18:26:52,82.0,16.18,1.330419,844
2023-03-22 18:26:56,83.0,16.18,1.330419,848
2023-03-22 18:27:00,82.0,16.18,1.330387,852
2023-03-22 18:27:04,83.0,16.18,1.330387,856
2023-03-22 18:27:08,82.0,16.18,1.330387,860
2023-03-22 18:27:12,83.0,16.18,1.331386,864
2023-03-22 18:27:16,83.0,16.18,1.330653,868
2023-03-22 18:27:20,83.0,16.18,1.331386,872
2023-03-22 18:27:24,82.0,16.18,1.331515,876
2023-03-22 18:27:28,83.0,16.18,1.332051,880
2023-03-22 18:27:32,83.0,16.18,1.622125,884
2023-03-22 18:27:36,83.0,16.18,3.126231,888
2023-03-22 18:27:40,83.0,16.18,3.127224,892
2023-03-22 18:27:44,83.0,16.18,3.127396,896
2023-03-22 18:27:48,82.0,16.18,3.127224,900
2023-03-22 18:27:52,83.0,16.18,3.127284,904
2023-03-22 18:27:56,83.0,16.18,3.127396,908
2023-03-22 18:28:00,83.0,16.18,3.127284,912
2023-03-22 18:28:04,82.0,16.18,3.127284,916
2023-03-22 18:28:08,82.0,16.18,3.127313,920
2023-03-22 18:28:12,83.0,16.18,3.127664,924
2023-03-22 18:28:16,83.0,16.18,3.127313,928
2023-03-22 18:28:20,82.0,16.18,3.127581,932
2023-03-22 18:28:24,83.0,16.18,3.127581,936
2023-03-22 18:28:28,83.0,16.18,3.127581,940
2023-03-22 18:28:32,83.0,16.18,3.126942,944
2023-03-22 18:28:36,83.0,16.18,3.127488,948
2023-03-22 18:28:40,83.0,16.18,3.127488,952
2023-03-22 18:28:44,82.0,16.18,3.127425,956
2023-03-22 18:28:48,82.0,16.18,3.127425,960
2023-03-22 18:28:52,82.0,16.17,3.127488,964
2023-03-22 18:28:56,83.0,16.15,3.127425,968
2023-03-22 18:29:00,83.0,16.09,3.126837,972
2023-03-22 18:29:04,83.0,16.09,3.126793,976
2023-03-22 18:29:08,82.0,16.09,3.126793,980
2023-03-22 18:29:12,83.0,16.09,3.12662,984
2023-03-22 18:29:16,83.0,16.08,3.126371,988
2023-03-22 18:29:20,83.0,16.08,3.126419,992
2023-03-22 18:29:24,83.0,16.08,3.12662,996
2023-03-22 18:29:28,83.0,16.08,3.12662,1000
2023-03-22 18:29:32,83.0,16.08,3.126419,1004
2023-03-22 18:29:36,83.0,16.08,3.126866,1008
2023-03-22 18:29:40,83.0,16.08,3.126914,1012
2023-03-22 18:29:44,83.0,16.08,3.126914,1016
2023-03-22 18:29:48,83.0,16.08,3.126866,1020
2023-03-22 18:29:52,83.0,16.08,3.126866,1024
2023-03-22 18:29:56,82.0,16.08,3.126914,1028
2023-03-22 18:30:00,83.0,16.08,3.127051,1032
2023-03-22 18:30:04,83.0,16.04,3.126071,1036
2023-03-22 18:30:08,82.0,16.0,3.125943,1040
2023-03-22 18:30:12,83.0,16.0,3.125943,1044
2023-03-22 18:30:16,82.0,16.0,3.125943,1048
2023-03-22 18:30:20,83.0,16.0,3.125809,1052
2023-03-22 18:30:24,83.0,16.0,3.125531,1056
2023-03-22 18:30:28,82.0,15.98,3.125809,1060
2023-03-22 18:30:32,82.0,15.98,3.125531,1064
2023-03-22 18:30:36,82.0,15.98,3.125531,1068
2023-03-22 18:30:40,82.0,15.98,3.125531,1072
2023-03-22 18:30:44,83.0,15.98,3.125206,1076
2023-03-22 18:30:48,83.0,15.98,3.124504,1080
2023-03-22 18:30:52,82.0,15.98,3.12443,1084
2023-03-22 18:30:56,82.0,15.98,3.124162,1088
2023-03-22 18:31:00,83.0,15.98,3.124162,1092
2023-03-22 18:31:04,83.0,15.98,3.123967,1096
2023-03-22 18:31:08,83.0,15.96,3.123967,1100
2023-03-22 18:31:12,82.0,15.91,3.124437,1104
2023-03-22 18:31:16,83.0,15.9,3.124647,1108
2023-03-22 18:31:20,83.0,15.9,3.124797,1112
2023-03-22 18:31:24,82.0,15.9,3.124797,1116
2023-03-22 18:31:28,83.0,15.89,3.124647,1120
2023-03-22 18:31:32,82.0,15.88,3.124184,1124
2023-03-22 18:31:36,82.0,15.88,3.123916,1128
2023-03-22 18:31:40,82.0,15.88,3.123916,1132
2023-03-22 18:31:44,82.0,15.88,3.123613,1136
2023-03-22 18:31:48,83.0,15.88,3.124073,1140
2023-03-22 18:31:52,83.0,15.88,3.123613,1144
2023-03-22 18:31:56,83.0,15.88,3.124073,1148
2023-03-22 18:32:00,82.0,15.88,3.124073,1152
2023-03-22 18:32:04,83.0,15.88,3.124073,1156
2023-03-22 18:32:08,83.0,15.88,3.123916,1160
2023-03-22 18:32:12,82.0,15.88,3.123916,1164
2023-03-22 18:32:16,82.0,15.86,3.123868,1168
2023-03-22 18:32:20,82.0,15.8,3.123561,1172
2023-03-22 18:32:24,82.0,15.8,3.123558,1176
2023-03-22 18:32:28,83.0,15.8,3.123188,1180
2023-03-22 18:32:32,82.0,15.8,3.123188,1184
2023-03-22 18:32:36,82.0,15.79,3.122722,1188
2023-03-22 18:32:40,82.0,15.78,3.122722,1192
2023-03-22 18:32:44,83.0,15.78,3.122722,1196
2023-03-22 18:32:48,82.0,15.78,3.123843,1200
2023-03-22 18:32:52,82.0,15.78,3.123843,1204
2023-03-22 18:32:56,82.0,15.78,3.123843,1208
2023-03-22 18:33:00,82.0,15.78,3.123721,1212
2023-03-22 18:33:04,82.0,15.78,3.122565,1216
