time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 11:33:56,1224.0,37.720466619718316,1309.6478873239437,4697.429577464791,0.2783,24.372459199999998,38.0,54.7,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481898148148,hp
20230727 11:34:00,1228.0,39.908326619718316,1311.6478873239437,3752.429577464791,0.2716,24.3914527,38.1,54.7,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481944444444,hp
20230727 11:34:04,1232.0,42.080446619718316,1328.6478873239437,2942.429577464791,0.2716,24.4180436,38.5,54.7,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48199074074,hp
20230727 11:34:08,1236.0,44.110906619718314,1355.6478873239437,7397.429577464791,0.2987,24.4446345,38.5,54.8,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482037037036,hp
20230727 11:34:12,1240.0,46.12562661971831,1384.6478873239437,5237.429577464791,0.3395,24.4674267,38.5,54.7,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482083333332,hp
20230727 11:34:16,1244.0,47.52648661971831,1401.6478873239437,6452.429577464791,0.3239,24.486420199999998,38.7,54.6,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48212962963,hp
20230727 11:34:20,1248.0,49.13196661971831,1417.6478873239437,4967.429577464791,0.3381,24.5054137,38.8,54.3,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482175925925,hp
20230727 11:34:24,1252.0,48.99030661971831,1423.6478873239437,3347.429577464791,0.324,24.5244072,39.1,54.0,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48222222222,hp
20230727 11:34:28,1256.0,48.43940661971831,1400.6478873239437,5777.429577464791,0.3098,24.539602,39.2,53.7,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482268518517,hp
20230727 11:34:32,1260.0,47.699626619718316,1369.6478873239437,5102.429577464791,0.3101,24.5471994,39.2,53.6,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482314814813,hp
20230727 11:34:36,1264.0,45.826566619718314,1343.6478873239437,4562.429577464791,0.2997,24.5585955,39.4,53.6,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48236111111,hp
20230727 11:34:40,1268.0,43.560006619718315,1293.6478873239437,10367.42957746479,0.3336,24.569991599999998,39.6,53.7,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482407407406,hp
20230727 11:34:44,1272.0,42.316546619718316,1247.6478873239437,9287.42957746479,0.2771,24.5813877,40.0,53.7,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482453703702,hp
20230727 11:34:48,1276.0,41.482326619718314,1247.6478873239437,6047.429577464791,0.2936,24.5965825,40.3,54.0,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.4825,hp
20230727 11:34:52,1280.0,40.88420661971831,1238.6478873239437,6992.429577464791,0.2842,24.6117773,40.7,54.1,23.6,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482546296298,hp
20230727 11:34:56,1284.0,39.81388661971831,1267.6478873239437,4427.429577464791,0.2998,24.6269721,41.0,53.9,23.7,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.482592592594,hp
20230727 11:35:00,1288.0,38.33432661971831,1296.6478873239437,6047.429577464791,0.2968,24.6307708,41.0,53.7,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48263888889,hp
20230727 11:35:04,1292.0,37.799166619718314,1309.6478873239437,9422.42957746479,0.2886,24.6383682,41.3,53.8,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482685185187,hp
20230727 11:35:08,1296.0,39.089846619718315,1289.6478873239437,8477.42957746479,0.3036,24.6459656,41.6,54.0,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482731481483,hp
20230727 11:35:12,1300.0,41.356406619718314,1289.6478873239437,10097.42957746479,0.3037,24.6573617,41.7,54.3,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48277777778,hp
20230727 11:35:16,1304.0,43.323906619718315,1292.6478873239437,8342.42957746479,0.302,24.6725565,42.4,54.4,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482824074075,hp
20230727 11:35:20,1308.0,44.834946619718316,1339.6478873239437,9287.42957746479,0.3048,24.683952599999998,43.1,54.4,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48287037037,hp
20230727 11:35:24,1312.0,45.165486619718315,1380.6478873239437,6182.429577464791,0.293,24.6991474,43.1,54.4,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482916666668,hp
20230727 11:35:28,1316.0,44.709026619718315,1406.6478873239437,4292.429577464791,0.3071,24.7143422,43.4,54.5,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.482962962964,hp
20230727 11:35:32,1320.0,44.032206619718316,1455.6478873239437,4292.429577464791,0.2882,24.729537,43.4,54.4,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48300925926,hp
20230727 11:35:36,1324.0,41.87582661971831,1480.6478873239437,3212.429577464791,0.2842,24.7409331,43.4,54.1,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483055555556,hp
20230727 11:35:40,1328.0,39.24724661971831,1517.6478873239437,3887.429577464791,0.3061,24.7485305,43.5,53.8,23.7,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483101851853,hp
20230727 11:35:44,1332.0,36.58718661971832,1523.6478873239437,3077.429577464791,0.2908,24.7599266,43.9,53.5,23.7,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.48314814815,hp
20230727 11:35:48,1336.0,34.33636661971831,1479.6478873239437,10367.42957746479,0.2872,24.7637253,44.4,53.2,23.7,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.483194444445,hp
20230727 11:35:52,1340.0,32.888286619718315,1433.6478873239437,9692.42957746479,0.2855,24.767523999999998,44.1,53.1,23.8,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.48324074074,hp
20230727 11:35:56,1344.0,32.542006619718315,1379.6478873239437,5372.429577464791,0.2724,24.7751214,44.8,53.1,23.8,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483287037037,hp
