time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,CO_bkg,CO2_bkg,PM_bkg,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,ppm,ppm,Mm^-1,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 12:30:52,4640.0,47.337606619718315,1581.6478873239437,7937.429577464791,0.2873,26.400965,86.3,51.6,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521435185186,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.05281937233517899+/-0,2.7729050908657946+/-0,0.0034919405027191964+/-0,0.9709404369801248,29.0,1155.238965218026+/-0,29.613129857141136,1.0211424088669356,0.025633769937419233,30.05091378426867,0.0013539596386788644,0.07108001115755236,8.951159948185994e-05,1.1999199193017163,50.15287804348283,0.09572434717670253
20230727 12:30:56,4644.0,45.59046661971831,1598.6478873239437,7802.429577464791,0.2958,26.3971663,86.3,51.5,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521481481483,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.050870556013064595+/-0,2.802744603579447+/-0,0.003432549491653665+/-0,0.9722725926503474,29.0,1155.253615352465+/-0,30.048191377861574,1.0361445302710888,0.02601003881619011,30.076923823084858,0.0013231451365009834,0.07289949593096878,8.928074551640546e-05,1.2012430644382173,50.2257775394138,0.09581362792221894
20230727 12:31:00,4648.0,42.741526619718314,1589.6478873239437,10367.42957746479,0.2909,26.4047637,86.4,51.2,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.52152777778,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.047690454612756054+/-0,2.786895147126192+/-0,0.004560978701898771+/-0,0.9738165867441766,29.0,1155.224315455148+/-0,29.79789633918618,1.027513666868489,0.02579403492510983,30.102717858009967,0.001230129251875795,0.07188527075759209,0.00011764604392945899,1.202473193690093,50.29766281017139,0.0959312739661484
20230727 12:31:04,4652.0,40.50644661971831,1578.6478873239437,9557.42957746479,0.2825,26.4085624,86.4,51.2,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521574074075,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.04519600749071156+/-0,2.7675753737204336+/-0,0.00420463263550558+/-0,0.9749829613085371,29.0,1155.209666063817+/-0,29.36433816165629,1.0125633848846995,0.025419055106862414,30.12813691311683,0.0011488398050165636,0.07034915093699504,0.0001068777886660285,1.2036220334951095,50.36801196110839,0.09603815175481442
20230727 12:31:08,4656.0,39.892586619718315,1540.6478873239437,8207.42957746479,0.2778,26.4123611,86.4,51.2,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.52162037037,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.044510514517775+/-0,2.7009221736444555+/-0,0.0036107225248502603+/-0,0.9747601613009119,29.0,1155.1950170440189+/-0,29.11885928894524,1.0040985961705255,0.025206877504939638,30.15334379062177,0.0011219710871313918,0.0680818143814311,9.101504038822688e-05,1.2047440045822408,50.436093775489816,0.09612916679520264
20230727 12:31:12,4660.0,39.92406661971832,1497.6478873239437,8612.42957746479,0.2795,26.4161598,86.7,51.4,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521666666667,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.044545073744044116+/-0,2.6255052350153427+/-0,0.0037888955580468566+/-0,0.9740343425767369,29.0,1155.1803683957398+/-0,29.20763479128562,1.0071598203891594,0.025284047054788344,30.178627837676558,0.0011262797406034282,0.06638339790472106,9.579861357533527e-05,1.2058702843228444,50.50247717339454,0.09622496540877798
20230727 12:31:16,4664.0,39.71944661971831,1474.6478873239437,9017.42957746479,0.2918,26.4199585,86.8,51.7,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521712962964,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.04431620806320674+/-0,2.585151480307437+/-0,0.003967068591243452+/-0,0.9737715904659127,29.0,1155.1657201189653+/-0,29.843198920052256,1.029075824829388,0.02583456070439732,30.204462398380954,0.0011448897673976167,0.06678625284806508,0.00010248747433898691,1.207015174090242,50.56926342624261,0.09632745288311696
20230727 12:31:20,4668.0,39.35742661971831,1441.6478873239437,10097.42957746479,0.2703,26.4199585,86.9,51.7,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.52175925926,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.04391229121621126+/-0,2.5273003827108727+/-0,0.004442196679767707+/-0,0.9734251955417255,29.0,1155.1657201189653+/-0,28.7227324479938,0.9904390499308207,0.024864599033492592,30.229326997414447,0.0010918615137330517,0.06284031065329822,0.00011045343927033614,1.208107035603975,50.63210373689591,0.0964379063223873
20230727 12:31:24,4672.0,39.294466619718314,1433.6478873239437,8342.42957746479,0.2693,26.427555899999998,87.2,51.8,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521805555556,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.04384093295721799+/-0,2.5132121365769127+/-0,0.0036701135359157927+/-0,0.9733224681098271,29.0,1155.1364246798737+/-0,28.66918846768229,0.9885927057821479,0.024818876675651073,30.2541458740901,0.0010880827084106801,0.062375102077451935,9.108809523353176e-05,1.2091951183123857,50.69447883897336,0.09652899441762083
20230727 12:31:28,4676.0,38.11396661971831,1421.6478873239437,8207.42957746479,0.2766,26.4313546,87.3,51.9,27.6,1533.5424,1.2845056,3.9,3.6,3.3,2.9,19565.521851851852,mp,-0.29074661971830984,634.3521126760563,34182.57042253521,0.04252330700307095+/-0,2.492144306454197+/-0,0.0036107225248502603+/-0,0.9738902845578884,29.0,1155.1217775175285+/-0,29.054978430865486,1.0018958079608788,0.0251531734544106,30.27929904754451,0.0010695961169033966,0.06268533801366422,9.082112996330599e-05,1.210264714429289,50.757164176987025,0.09661981554758414
