time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda
20230727 11:16:48,196.0,-0.36202,686.0,33480.0,0.282,20.9460318,21.7,53.0,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:52,200.0,-0.34628000000000003,680.0,33345.0,0.3009,20.9460318,21.7,53.0,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:56,204.0,-0.33054,666.0,34155.0,0.3007,20.953629199999998,21.7,52.9,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:00,208.0,-0.29906,663.0,33480.0,0.2815,20.9574279,21.8,52.9,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:04,212.0,-0.28332,666.0,33345.0,0.2923,20.9612266,22.0,52.9,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:08,216.0,-0.33054,653.0,33750.0,0.2941,20.968823999999998,22.0,52.9,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:12,220.0,-0.33054,655.0,34020.0,0.2794,20.968823999999998,22.0,53.0,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:16,224.0,-0.25184,661.0,33750.0,0.2978,20.9726227,22.0,53.0,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:20,228.0,-0.28332,663.0,33075.0,0.311,20.9802201,21.9,53.0,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:24,232.0,-0.28332,659.0,33615.0,0.2737,20.9802201,21.9,53.1,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:28,236.0,-0.3148,651.0,33615.0,0.2847,20.9840188,21.9,53.1,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:32,240.0,-0.28332,659.0,33210.0,0.2985,20.9840188,21.9,53.0,21.6,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:17:36,244.0,-0.29906,675.0,34020.0,0.289,20.9954149,21.9,53.0,21.6,1533.5424,1.2845056,3.9,3.7,3.4,3.1
20230727 11:17:40,248.0,-0.3148,671.0,33480.0,0.2774,20.9954149,21.9,53.0,21.6,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:17:44,252.0,-0.28332,664.0,33210.0,0.285,20.9954149,21.9,53.0,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:48,256.0,-0.37776,658.0,33750.0,0.3,20.9992136,21.9,52.9,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:17:52,260.0,-0.29906,664.0,33885.0,0.2939,21.006811,21.9,52.9,21.6,1533.5424,1.2845056,3.8,3.7,3.5,2.9
