time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:31:32,1080.0,153.66130661971832,2070.647887323944,8882.42957746479,0.2872,22.678238999999998,28.6,55.7,23.3,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.48023148148,hp,0.17361312577040774+/-0,3.6758903477809817+/-0,0.00390767758017792+/-0,0.9309172901689627,29.0,1169.7765838935377+/-0,29.793687842657636,1.0273685462985391,0.025469553975418936,0.993574314687253,0.004421848877650596,0.0936232876205292,9.952680504687597e-05,0.17368510462510872,2.303534966921747,0.014646002558359255
20230727 11:31:36,1084.0,145.17744661971832,2033.6478873239437,11582.42957746479,0.2909,22.7390182,29.1,55.6,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480277777777,hp,0.16399400408324732+/-0,3.609465005548699+/-0,0.005095497801488558+/-0,0.9333689376757209,29.0,1169.5362975680084+/-0,29.981910043995576,1.0338589670343301,0.025635724266396383,1.0192100389536494,0.004204105070020411,0.09253124963145333,0.00013062677663898964,0.17788920969512914,2.3960662165532005,0.014776629334998244
20230727 11:31:40,1088.0,138.1574066197183,2003.6478873239437,10232.42957746479,0.2763,22.7959987,29.1,55.7,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480324074073,hp,0.15603404336405796+/-0,3.5555341378900196+/-0,0.004501587690833239+/-0,0.9354948804121537,29.0,1169.3111187742545+/-0,29.21702995160621,1.007483791434697,0.0249865322261139,1.0441965711797632,0.003898749652886888,0.08884046831743708,0.00011247906590568239,0.18178795934801603,2.4849066848706376,0.014889108400903926
20230727 11:31:44,1092.0,132.85302661971832,1983.6478873239437,10772.42957746479,0.2908,22.860576599999998,29.5,55.8,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48037037037,hp,0.15001057879551227+/-0,3.5192755939191023+/-0,0.004739151735095366+/-0,0.9372298751470066,29.0,1169.0560209417229+/-0,29.97060060580739,1.0334689864071513,0.0256365820533261,1.0698331532330894,0.0038457585121580906,0.090222197531775,0.0001214956523199351,0.18563371786017413,2.5751288824024128,0.015010604053223861
20230727 11:31:48,1096.0,127.3125466197183,1946.6478873239437,7937.429577464791,0.2783,22.9213558,29.8,55.7,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480416666665,hp,0.14372505241256403+/-0,3.4529233109561672+/-0,0.0034919405027191964+/-0,0.9386138016251199,29.0,1168.8160305194274+/-0,29.316374877036804,1.0109094785185104,0.02508211224995645,1.0949152654830459,0.0036049278977428054,0.08660661007589388,8.758524365937224e-05,0.18923864575791693,2.6617354924783068,0.015098189296883233
20230727 11:31:52,1100.0,120.60730661971832,1940.6478873239437,10232.42957746479,0.273,22.982135,30.2,55.7,23.3,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.48046296296,hp,0.13612746091813482+/-0,3.4415741306642262+/-0,0.004501587690833239+/-0,0.9414884159059566,29.0,1168.5761386100874+/-0,29.03289973197134,1.001134473516253,0.0248446795828839,1.1197599450659297,0.00338204314894261,0.0855048065370949,0.00011184050379300605,0.19262068890685954,2.7472402990154015,0.015210029800676239
20230727 11:31:56,1104.0,114.84646661971831,1939.6478873239437,16172.42957746479,0.2983,23.0353168,30.1,55.6,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480509259258,hp,0.12960202165273815+/-0,3.4391830793665834+/-0,0.007114792177716642+/-0,0.9440998869628104,29.0,1168.3663139531468+/-0,30.345669520609842,1.0464023972624084,0.02597273574067349,1.1457326808066033,0.003366119059843612,0.08932499328418397,0.0001847906170816452,0.19598680796670315,2.8365652922995856,0.015394820417757884
20230727 11:32:00,1108.0,112.48546661971831,1926.6478873239437,28052.42957746479,0.2792,23.096096,30.0,55.7,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480555555554,hp,0.1269116355944882+/-0,3.4154319541436697+/-0,0.012341201151483449+/-0,0.9448366305214062,29.0,1168.1266065921795+/-0,29.355078672367508,1.0122440921506037,0.025130048837776413,1.1708627296443797,0.003189295600571572,0.08582997180973255,0.0003101349876536016,0.19917610356727472,2.9223952641093183,0.015704955405411485
20230727 11:32:04,1112.0,118.02594661971831,1910.6478873239437,18602.42957746479,0.2847,23.156875199999998,30.1,56.0,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48060185185,hp,0.13313536295895978+/-0,3.3863734651038215+/-0,0.008183830376896217+/-0,0.9418211322860706,29.0,1167.8869975699472+/-0,29.639763149398707,1.0220607982551277,0.025378964926462005,1.1962416945708416,0.003378837707007229,0.0859426533987715,0.00020769714409936342,0.20255494127428195,3.00833791750809,0.01591265254951085
20230727 11:32:08,1116.0,122.7164666197183,1922.6478873239437,19412.42957746479,0.2741,23.2138557,30.4,56.1,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480648148146,hp,0.13839973819312965+/-0,3.4069867240319223+/-0,0.008540176443289409+/-0,0.9400026374845591,29.0,1167.6624533693466+/-0,29.079956944623323,1.002757136021494,0.024904420674580825,1.2211461152454224,0.0034467653012135516,0.084849030608003,0.0002126881467788249,0.2060017065754955,3.093186948116093,0.016125340696289674
