time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 12:11:00,3448.0,55.128906619718315,1205.6478873239437,3212.429577464791,7.592059999999999,25.1549914,36.6,47.7,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50763888889,mp
20230727 12:11:04,3452.0,53.03548661971831,1154.6478873239437,3212.429577464791,7.289799999999999,25.162588799999998,37.1,47.5,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507685185185,mp
20230727 12:11:08,3456.0,51.587406619718315,1065.6478873239437,2807.429577464791,7.6936599999999995,25.1739849,37.3,47.3,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50773148148,mp
20230727 12:11:12,3460.0,50.218026619718316,988.6478873239437,3212.429577464791,6.939279999999999,25.1815823,37.4,47.1,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507777777777,mp
20230727 12:11:16,3464.0,48.53384661971831,933.6478873239437,3482.429577464791,7.33298,25.1891797,37.5,47.1,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507824074073,mp
20230727 12:11:20,3468.0,46.865406619718314,874.6478873239437,3752.429577464791,7.556499999999999,25.1967771,37.6,47.0,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50787037037,mp
20230727 12:11:24,3472.0,44.693286619718315,834.6478873239437,4292.429577464791,7.5869800000000005,25.2081732,37.7,47.0,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507916666666,mp
20230727 12:11:28,3476.0,42.33228661971832,796.6478873239437,3752.429577464791,7.37616,25.211971899999998,38.1,47.1,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50796296296,mp
20230727 12:11:32,3480.0,39.82962661971831,787.6478873239437,4292.429577464791,7.29996,25.2157706,38.3,47.1,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508009259258,mp
20230727 12:11:36,3484.0,37.65750661971831,778.6478873239437,4022.429577464791,7.556499999999999,25.227166699999998,38.7,47.1,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508055555554,mp
20230727 12:11:40,3488.0,36.24090661971832,796.6478873239437,3617.429577464791,7.734299999999999,25.227166699999998,38.4,47.0,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50810185185,mp
20230727 12:11:44,3492.0,35.863146619718314,807.6478873239437,3617.429577464791,7.513319999999999,25.2309654,38.2,47.0,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508148148147,mp
20230727 12:11:48,3496.0,36.445526619718315,834.6478873239437,4022.429577464791,7.213599999999999,25.2385628,38.2,47.0,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508194444443,mp
20230727 12:11:52,3500.0,37.90934661971831,834.6478873239437,3482.429577464791,7.480299999999999,25.2461602,38.6,47.0,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50824074074,mp
20230727 12:11:56,3504.0,39.672226619718316,851.6478873239437,4157.429577464791,7.622539999999999,25.2461602,38.8,46.9,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50828703704,mp
20230727 12:12:00,3508.0,41.261966619718315,863.6478873239437,3617.429577464791,7.63778,25.2461602,38.7,46.7,26.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.508333333335,mp
20230727 12:12:04,3512.0,42.44246661971832,879.6478873239437,3617.429577464791,6.95198,25.2537576,39.0,46.6,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50837962963,mp
20230727 12:12:08,3516.0,43.229466619718316,879.6478873239437,4292.429577464791,6.8072,25.2499589,39.2,46.5,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508425925927,mp
20230727 12:12:12,3520.0,44.06368661971831,872.6478873239437,4022.429577464791,7.10438,25.2537576,39.2,46.6,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508472222224,mp
20230727 12:12:16,3524.0,44.74050661971832,867.6478873239437,4427.429577464791,6.83768,25.2499589,39.2,46.6,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50851851852,mp
20230727 12:12:20,3528.0,44.89790661971831,863.6478873239437,4022.429577464791,7.122159999999999,25.2499589,39.4,46.7,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508564814816,mp
20230727 12:12:24,3532.0,44.457186619718314,853.6478873239437,4292.429577464791,6.8199,25.2461602,39.3,46.8,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508611111112,mp
20230727 12:12:28,3536.0,43.07206661971831,862.6478873239437,3347.429577464791,7.238999999999999,25.2499589,39.4,46.8,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50865740741,mp
20230727 12:12:32,3540.0,41.18326661971832,862.6478873239437,3482.429577464791,7.18312,25.242361499999998,39.8,46.8,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508703703705,mp
20230727 12:12:36,3544.0,39.49908661971831,878.6478873239437,3617.429577464791,7.129779999999999,25.2385628,40.1,46.7,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50875,mp
20230727 12:12:40,3548.0,38.491726619718314,878.6478873239437,3617.429577464791,7.07898,25.2309654,40.1,46.6,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508796296297,mp
20230727 12:12:44,3552.0,36.96494661971831,876.6478873239437,3887.429577464791,7.6072999999999995,25.227166699999998,40.2,46.7,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508842592593,mp
20230727 12:12:48,3556.0,35.56408661971832,859.6478873239437,4292.429577464791,7.477759999999999,25.2157706,40.2,46.9,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50888888889,mp
20230727 12:12:52,3560.0,33.64380661971831,862.6478873239437,3617.429577464791,7.45744,25.2157706,40.2,47.0,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508935185186,mp
20230727 12:12:56,3564.0,31.70778661971831,887.6478873239437,3752.429577464791,7.15264,25.2081732,40.3,47.0,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.508981481482,mp
20230727 12:13:00,3568.0,30.27544661971831,904.6478873239437,5372.429577464791,7.503159999999999,25.2081732,40.4,47.0,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509027777778,mp
20230727 12:13:04,3572.0,29.26808661971831,928.6478873239437,5912.429577464791,7.426959999999999,25.192978399999998,40.5,47.1,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509074074074,mp
20230727 12:13:08,3576.0,28.68570661971831,957.6478873239437,5372.429577464791,7.353299999999999,25.1891797,40.7,47.2,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50912037037,mp
20230727 12:13:12,3580.0,28.15054661971831,986.6478873239437,6317.429577464791,7.213599999999999,25.1891797,41.0,47.4,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509166666667,mp
20230727 12:13:16,3584.0,27.42650661971831,1003.6478873239437,6857.429577464791,7.1475599999999995,25.1891797,41.3,47.5,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509212962963,mp
20230727 12:13:20,3588.0,26.51358661971831,1025.6478873239437,6047.429577464791,7.360919999999999,25.192978399999998,41.6,47.5,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50925925926,mp
20230727 12:13:24,3592.0,26.16730661971831,1047.6478873239437,6452.429577464791,7.04088,25.192978399999998,41.8,47.5,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509305555555,mp
20230727 12:13:28,3596.0,25.97842661971831,1100.6478873239437,7127.429577464791,7.363459999999999,25.1967771,42.0,47.4,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50935185185,mp
20230727 12:13:32,3600.0,25.86824661971831,1136.6478873239437,7532.429577464791,6.98754,25.1967771,42.1,47.4,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509398148148,mp
20230727 12:13:36,3604.0,25.64788661971831,1149.6478873239437,8072.429577464791,7.38378,25.1967771,42.1,47.4,26.7,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.509444444444,mp
