time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 12:24:44,4272.0,43.70166661971832,1741.6478873239437,12527.42957746479,7.29234,26.4579455,73.2,50.3,27.3,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.517175925925,mp,0.048753111236774546+/-0,3.052832337045938+/-0,0.005511234878947281+/-0,0.9755220670802613,29.0,1155.019257780869+/-0,149.1793295084047,5.144114810634645,0.12915743915389077,137.44940619288724,0.006296826998126577,0.39429600681904087,0.000711816983540434,2.4382609898166607,80.15682209898934,0.2071118277081729
20230727 12:24:48,4276.0,42.66282661971832,1759.6478873239437,20222.42957746479,7.426959999999999,26.4807377,73.3,50.4,27.3,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.51722222222,mp,0.04759057208132761+/-0,3.0841488586030703+/-0,0.0088965225096826+/-0,0.9763288170626433,29.0,1154.9313982036797+/-0,150.5442665912802,5.191181606595869,0.1303490985052696,137.97080258690832,0.006203388168151106,0.4020160233749664,0.0011596536889689655,2.444464377984812,80.5588381223643,0.20827148139714188
20230727 12:24:52,4280.0,42.01748661971831,1744.6478873239437,10637.42957746479,7.815579999999999,26.4959325,73.6,50.4,27.3,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517268518517,mp,0.04686831567815771+/-0,3.057703177716997+/-0,0.004679760724029835+/-0,0.9764827330106174,29.0,1154.8728325776992+/-0,154.42879141599244,5.325130738482498,0.13371930403047433,138.5056798030302,0.006267198553563818,0.40887394085608664,0.0006257743470464181,2.4507315765383755,80.96771206322039,0.2088972557441883
20230727 12:24:56,4284.0,40.85272661971831,1726.6478873239437,8882.42957746479,7.38124,26.514926,73.8,50.2,27.3,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517314814813,mp,0.04556619834392556+/-0,3.025964229039166+/-0,0.00390767758017792+/-0,0.9768867256410353,29.0,1154.7996338972985+/-0,150.07161826912093,5.174883388590377,0.1299546811966408,139.02549852781678,0.005921540779127748,0.3932382166972238,0.0005078209941512823,2.456653117317503,81.36095027991762,0.20940507673833958
20230727 12:25:00,4288.0,38.397286619718315,1717.6478873239437,8342.42957746479,7.071359999999999,26.526322099999998,74.2,50.1,27.3,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.51736111111,mp,0.04282582799746345+/-0,3.0100771854170176+/-0,0.0036701135359157927+/-0,0.9781342261637341,29.0,1154.7557191428205+/-0,146.88488864313862,5.064996160108229,0.12719996637225736,139.53429839330582,0.005447443881141429,0.38288171676294375,0.0004668383183508554,2.4621005611986444,81.74383199668056,0.20987191505669042
20230727 12:25:04,4292.0,35.92610661971831,1693.6478873239437,6182.429577464791,7.492999999999999,26.541516899999998,74.4,49.9,27.3,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517407407406,mp,0.040067603485459326+/-0,2.967868110074911+/-0,0.0027198573588672822+/-0,0.9792283494400827,29.0,1154.697171332116+/-0,151.19676562187644,5.213681573168153,0.13094062181467747,140.05806088056454,0.005246476915009983,0.3886144957971605,0.0003561398138173083,2.467347038113654,82.13244649247771,0.21022805487050772
20230727 12:25:08,4296.0,33.61232661971832,1655.6478873239437,5372.429577464791,7.119619999999999,26.552913,74.5,49.7,27.3,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517453703702,mp,0.03748566966046142+/-0,2.9011683949379155+/-0,0.0023635112924740905+/-0,0.9801023392711957,29.0,1154.6532643700432+/-0,147.37872148615898,5.082024878833068,0.12763894238550133,140.56861665010655,0.0047846312300735706,0.370302065612118,0.0003016760816875822,2.4721316693437276,82.50274855808983,0.2105297309521953
20230727 12:25:12,4300.0,31.91240661971831,1591.6478873239437,5372.429577464791,6.901179999999999,26.5643091,74.6,49.6,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.5175,mp,0.03558850479422659+/-0,2.7889160518296174+/-0,0.0023635112924740905+/-0,0.9803441814025876,29.0,1154.6093607469375+/-0,145.0974560750613,5.003360554312459,0.12566800600091718,141.0712886741102,0.004472336434044537,0.3504775191373786,0.0002970177512858695,2.476604005777772,82.85322607722722,0.21082674870348117
20230727 12:25:16,4304.0,30.59024661971831,1537.6478873239437,4832.429577464791,7.543799999999999,26.575705199999998,74.9,49.3,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517546296298,mp,0.03411274363096737+/-0,2.694193770963064+/-0,0.002125947248211963+/-0,0.9804938765627432,29.0,1154.5654604624183+/-0,151.69977868579753,5.231026851234398,0.1313912323559721,141.5968536035341,0.004482115424716142,0.35399343977262065,0.00027933082886635755,2.4810861212024884,83.20721951699984,0.21110607953234753
20230727 12:25:20,4308.0,29.70880661971831,1471.6478873239437,4697.429577464791,7.287259999999999,26.5833026,75.1,49.0,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.517592592594,mp,0.03312896519948374+/-0,2.5784863391252237+/-0,0.002066556237146431+/-0,0.9802120264028121,29.0,1154.5361954606542+/-0,149.0961717606002,5.1412473020896625,0.1291394521426083,142.11341141210454,0.004278256415912866,0.33298431319183114,0.00026687394028698027,2.485364377618401,83.54020383019167,0.21137295347263452
