time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 13:02:40,6548.0,24.38868661971831,612.6478873239437,3212.429577464791,7.3482199999999995,25.4626861,94.1,49.9,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.54351851852,lp,0.02729843952651315+/-0,1.0774536795383352+/-0,0.0014132551154255803+/-0,0.9617154059636845,29.0,1158.8688724389096+/-0,149.99915331637496,5.172384597116378,0.1294358290948765,178.4818738201629,0.0035333961531105774,0.13946111032236977,0.00018292584758768538,1.183407604221491,53.49044998720546,0.09305906619715384
20230727 13:02:44,6552.0,23.23966661971831,606.6478873239437,2402.429577464791,7.46252,25.4588874,94.0,49.8,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.543564814816,lp,0.02601266374931626+/-0,1.0669151514390576+/-0,0.001056909049032389+/-0,0.9631050550622614,29.0,1158.8836147837342+/-0,151.16221565017224,5.212490194833526,0.1304377883350965,179.00362497350326,0.003393034328165352,0.13916605269491522,0.00013786087882713488,1.1868006385496563,53.62961603990038,0.09319692707598098
20230727 13:02:48,6556.0,21.82306661971831,604.6478873239437,4157.429577464791,7.848599999999999,25.4550887,94.0,49.7,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.543611111112,lp,0.02442734334057143+/-0,1.0634112678585073+/-0,0.0018289921928843036+/-0,0.9651650783131426,29.0,1158.898357503648+/-0,155.02414877050336,5.34566030243115,0.1337685464534066,179.53869915931688,0.0032676102123865417,0.14225097958360675,0.00024466162711676197,1.1900682487620429,53.771867019483985,0.09344158870309775
20230727 13:02:52,6560.0,20.89440661971831,606.6478873239437,5507.429577464791,7.15518,25.45129,93.9,49.8,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.54365740741,lp,0.02338815833512982+/-0,1.0669422972734628+/-0,0.0024229023035396225+/-0,0.9667043849930629,29.0,1158.9131005986649+/-0,148.01860318758312,5.104089765089073,0.12772191729571483,180.04958682849974,0.002987180424578534,0.1362719158516612,0.0003094577276282846,1.1930554291866213,53.90813893533564,0.09375104643072604
20230727 13:02:56,6564.0,19.997226619718308,612.6478873239437,4967.429577464791,7.72668,25.4588874,93.8,50.3,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.543703703705,lp,0.022383330212501718+/-0,1.077467386174223+/-0,0.002185338259277495+/-0,0.9683910834384488,29.0,1158.8836147837342+/-0,153.81438666246245,5.303944367671119,0.13272634516552953,180.58049220916186,0.0029708576117385282,0.1430083082019608,0.00029005196010430226,1.1960262867983598,54.051147243537606,0.09404109839083034
20230727 13:03:00,6568.0,19.43058661971831,625.6478873239437,7532.429577464791,7.208519999999999,25.4588874,93.7,50.1,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.54375,lp,0.02174907774975743+/-0,1.1003305614337475+/-0,0.003313767469522601+/-0,0.9698787242102033,29.0,1158.8836147837342+/-0,148.56740879337082,5.123014096323131,0.12819873100121087,181.0932871331667,0.002788204167965573,0.14106098165765635,0.0004248207844258912,1.1988144909663254,54.192208225195266,0.09446591917525624
20230727 13:03:04,6572.0,18.80098661971831,621.6478873239437,3617.429577464791,7.251699999999999,25.4626861,93.8,50.3,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.543796296297,lp,0.02104408508255665+/-0,1.0932818302860705+/-0,0.001591428148622176+/-0,0.9706440476599665,29.0,1158.8688724389096+/-0,149.01076595694565,5.138302274377436,0.1285829393651272,181.6076188906272,0.00270591031616496,0.1405773912926691,0.0002046305091382419,1.2015204012824903,54.33278561648793,0.09467054968439448
20230727 13:03:08,6576.0,18.31304661971831,653.6478873239437,4562.429577464791,7.777480000000001,25.4664848,93.8,50.4,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.543842592593,lp,0.020497669433301488+/-0,1.1495450760635804+/-0,0.0020071652260808992+/-0,0.9727468581956973,29.0,1158.8541304691598+/-0,154.31723090771334,5.321283824403908,0.13316363712250678,182.14027343911724,0.002729544214273259,0.15307760336489507,0.00026728142181075117,1.2042499454967635,54.485863219852824,0.09493783110620523
20230727 13:03:12,6580.0,17.84084661971831,679.6478873239437,5102.429577464791,7.475219999999999,25.4664848,93.9,50.1,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.54388888889,lp,0.019969139161556137+/-0,1.1952702632129126+/-0,0.002244729270343027+/-0,0.9744213121280905,29.0,1158.8541304691598+/-0,151.28886318924395,5.21685735135324,0.13055039388606654,182.6624750146615,0.00260697898310683,0.15604300366274818,0.00029305029041086495,1.2068569244798704,54.64190622351557,0.09523088139661609
20230727 13:03:16,6584.0,17.55752661971831,699.6478873239437,5372.429577464791,6.774179999999999,25.4702835,94.1,49.9,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.543935185186,lp,0.019651771008349878+/-0,1.230427831825815+/-0,0.0023635112924740905+/-0,0.9755195286059324,29.0,1158.8393888744702+/-0,144.01925963916145,4.9661813668676364,0.1242788785243493,183.1595905287589,0.0024423000619350436,0.15291619104445894,0.0002937345328083153,1.2092992245418055,54.79482241456003,0.0955246159294244
20230727 13:03:20,6588.0,17.54178661971831,719.6478873239437,3077.429577464791,7.10184,25.4702835,94.0,49.8,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.54398148148,lp,0.019634153556736617+/-0,1.2656006052771014+/-0,0.0013538641043600486+/-0,0.9762045139266846,29.0,1158.8393888744702+/-0,147.4611612743564,5.084867630150221,0.1272490067994487,183.6685865559567,0.0024984265394425976,0.16104642002629227,0.00017227786262124134,1.211797651081248,54.955868834586326,0.09569689379204564
20230727 13:03:24,6592.0,17.33716661971831,733.6478873239437,2942.429577464791,7.325359999999999,25.4626861,94.0,49.8,28.6,65536.0,1664614.4,4.0,3.6,3.3,2.9,19565.544027777778,lp,0.01940562039723847+/-0,1.290254372924556+/-0,0.0012944730932945164+/-0,0.9769140989841604,29.0,1158.8688724389096+/-0,149.76565107675918,5.164332795750317,0.1292343375843449,184.18552390629407,0.0025078724974503656,0.16674516920020932,0.00016729037273267473,1.2143055235786984,55.12261400378654,0.09586418416477832
20230727 13:03:28,6596.0,16.50294661971831,728.6478873239437,3077.429577464791,7.42188,25.4626861,93.9,49.9,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.544074074074,lp,0.018471871705605526+/-0,1.2814609558424808+/-0,0.0013538641043600486+/-0,0.9778528777423794,29.0,1158.8688724389096+/-0,150.7490891083568,5.198244452012303,0.1300829564876449,184.70585573224466,0.0024028756833256427,0.16669622975947326,0.00017611464537765253,1.216708399262024,55.28931023354601,0.09604029881015598
20230727 13:03:32,6600.0,15.46410661971831,735.6478873239437,3887.429577464791,7.541259999999999,25.4664848,94.0,50.3,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.54412037037,lp,0.01730887012710455+/-0,1.293755281688398+/-0,0.0017102101707532397+/-0,0.979411716569023,29.0,1158.8541304691598+/-0,151.9556761243988,5.239850900841338,0.13112580102111715,185.23035893632914,0.00226963946018707,0.16964469763669224,0.00022425267855448008,1.218978038722211,55.4589549311827,0.09626455148871046
20230727 13:03:36,6604.0,14.66136661971831,739.6478873239437,5237.429577464791,7.5310999999999995,25.4664848,93.9,49.9,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.544166666667,lp,0.016410368665137454+/-0,1.3007899258652182+/-0,0.0023041202814085586+/-0,0.9805631887146204,29.0,1158.8541304691598+/-0,151.85328010460083,5.2363200036069255,0.13103744130689107,185.75450870155672,0.0021503727207823936,0.17045218356315872,0.0003019260261390913,1.2211284114429934,55.62940711474586,0.09656647751484955
20230727 13:03:40,6608.0,13.85862661971831,764.6478873239437,5372.429577464791,7.515859999999999,25.4626861,93.9,49.9,28.6,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.544212962963,lp,0.015512064532127529+/-0,1.3447735588334224+/-0,0.0023635112924740905+/-0,0.9821984448793948,29.0,1158.8688724389096+/-0,151.70052137564892,5.2310524612292735,0.13090395728412826,186.27812453069322,0.0020305906329022632,0.17603618050235548,0.00030939298127058315,1.2231590020758958,55.80544329524822,0.09687587049612013
