time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:53:12,2380.0,19.91852661971831,1297.6478873239437,1727.4295774647908,7.492999999999999,25.9375236,90.3,56.0,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495277777776,hp,0.022259560040990774+/-0,2.2785286286455384+/-0,0.0007599539937047295+/-0,0.9848823357904978,29.0,1157.029028397295+/-0,151.34935603047649,5.218943311395741,0.13080860749027542,191.44897057903572,0.0029117420523081814,0.29805115703984975,9.94085236731892e-05,10.280748461801563,460.45679208152654,0.7571128368650065
20230727 11:53:16,2384.0,19.477806619718308,1246.6478873239437,2402.429577464791,7.622539999999999,25.9413223,90.4,55.8,25.4,65536.0,1664614.4,3.9,3.5,3.3,2.9,19565.495324074072,hp,0.021766765561613412+/-0,2.188950370846523+/-0,0.001056909049032389+/-0,0.98461621408294,29.0,1157.014333199399+/-0,152.65105467051114,5.263829471396936,0.1319353185957493,191.97671185341872,0.0028718051491704497,0.2887998645679196,0.00013944363211081866,10.292235682398244,461.6119915397982,0.7576706113934498
20230727 11:53:20,2388.0,19.43058661971831,1248.6478873239437,1322.4295774647908,7.30504,25.9413223,90.5,55.8,25.4,65536.0,1664614.4,3.9,3.5,3.4,2.9,19565.49537037037,hp,0.02171399644392545+/-0,2.1924621088330127+/-0,0.0005817809605081338+/-0,0.984677141818132,29.0,1157.014333199399+/-0,149.43807080977325,5.153036924474939,0.1291583574393103,192.49334528317596,0.0028045441141404366,0.28317480472479833,7.514187324869482e-05,10.303453858854805,462.7446907586974,0.7579711788864446
20230727 11:53:24,2392.0,19.30466661971831,1242.6478873239437,2132.429577464791,7.21868,25.945121,90.4,56.1,25.4,65536.0,1664614.4,3.9,3.5,3.4,2.9,19565.49541666667,hp,0.0215730048022708+/-0,2.1818991830015877+/-0,0.0009381270269013252+/-0,0.9847025416610233,29.0,1156.99963837478+/-0,148.55117467445015,5.122454299118971,0.1283934495287464,193.00691908129093,0.00276983250326376,0.28014156262952733,0.00012044936508000821,10.31453318886786,463.8652570092155,0.7584529763467647
20230727 11:53:28,2396.0,18.89542661971831,1231.6478873239437,1997.4295774647908,6.898639999999999,25.945121,90.6,56.2,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495462962965,hp,0.0211156782573895+/-0,2.1625848693831875+/-0,0.0008787360158357933+/-0,0.9848902261848648,29.0,1156.99963837478+/-0,145.22083727401431,5.007615078414287,0.12551502390960453,193.50897917692936,0.0026503348613437596,0.27143689158717976,0.00011029457203786022,10.325134528313235,464.95100457556424,0.7588941546349162
20230727 11:53:32,2400.0,18.48618661971831,1231.6478873239437,2807.429577464791,7.287259999999999,25.948919699999998,90.7,56.2,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.49550925926,hp,0.020658089341514904+/-0,2.162557403516204+/-0,0.0012350820822289847+/-0,0.9852126367843074,29.0,1156.9849439234235+/-0,149.25420302714514,5.146696656108453,0.12900271849779898,194.02499005092056,0.002664949684025829,0.278975783961132,0.00015932894617546112,10.335794327049339,466.06690771140876,0.759531470419618
20230727 11:53:36,2404.0,18.07694661971831,1270.6478873239437,2807.429577464791,7.03834,25.948919699999998,90.9,56.0,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495555555557,hp,0.020200768604900464+/-0,2.2310345548231254+/-0,0.0012350820822289847+/-0,0.9859729973819156,29.0,1156.9849439234235+/-0,146.68292396289849,5.058031860789603,0.12678032219285895,194.532111339692,0.0025610599522726705,0.28285127968387747,0.00015658410431961778,10.346038566858429,467.1983128301443,0.7601578068368965
20230727 11:53:40,2408.0,17.88806661971831,1270.6478873239437,6722.429577464791,7.043419999999999,25.9565171,91.2,56.1,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495601851853,hp,0.01998918975106414+/-0,2.230977885840814+/-0,0.0029574214031294096+/-0,0.9861175262009798,29.0,1156.9555561404418+/-0,146.7339858485032,5.059792615465628,0.12682767723420768,195.03942204862884,0.002535182505921295,0.2829497432220738,0.00037508288716163436,10.356179296882114,468.3301118030326,0.761658138385543
20230727 11:53:44,2412.0,19.44632661971831,1266.6478873239437,6182.429577464791,6.8834,25.9641145,91.6,56.5,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.49564814815,hp,0.021729930224427645+/-0,2.223898278946199+/-0,0.0027198573588672822+/-0,0.9848795473854995,29.0,1156.92616985034+/-0,145.0557369751279,5.001921964659583,0.1253802885225531,195.54094320271903,0.002724504921113685,0.2788330078590837,0.0003410165003949691,10.367077316566569,469.4454438344689,0.7630222043871229
20230727 11:53:48,2416.0,22.34248661971831,1266.6478873239437,3212.429577464791,7.37108,25.9717119,92.0,57.0,25.4,65536.0,1664614.4,3.8,3.5,3.4,2.9,19565.495694444446,hp,0.02496555537385439+/-0,2.2238417940970145+/-0,0.0014132551154255803+/-0,0.9826666769035973,29.0,1156.8967850530046+/-0,150.10441044771935,5.176014153369633,0.129747452311264,196.0599330119641,0.003239217205293393,0.2885378071273982,0.00018336625069233039,10.380034185387743,470.5995950629785,0.7637556693898921
