sep=,

firmware launcher:,6.89
firmware GUI,6.30

Household ID:,21
Sensor ID:,4001
Sensor Type:,FUELv2 
Start time:,2023-03-21 16:52:00
Stop time:,2023-03-24 07:06:20
Total number of logs:,56015
Study arm:,0

Fuel type:,
Fuel calibration value:,52.20
Fuel resolution (gram):,1.00

Timestamp,Battery level (%),Temperature (C), kg (FUEL 4001)
2023-03-22 16:00:28,83,16.38,1.334068
2023-03-22 16:00:32,82,16.38,1.334068
2023-03-22 16:00:36,83,16.38,1.334628
2023-03-22 16:00:40,82,16.38,1.334628
2023-03-22 16:00:44,83,16.38,1.334628
2023-03-22 16:00:48,83,16.38,1.334628
2023-03-22 16:00:52,82,16.38,1.334628
2023-03-22 16:00:56,83,16.38,1.334493
2023-03-22 16:01:00,82,16.38,1.334493
2023-03-22 16:01:04,82,16.38,1.334493
2023-03-22 16:01:08,83,16.38,1.334493
2023-03-22 16:01:12,83,16.38,1.334468
2023-03-22 16:01:16,83,16.38,1.334136
2023-03-22 16:01:20,83,16.38,1.334136
2023-03-22 16:01:24,83,16.38,1.334136
2023-03-22 16:01:28,83,16.38,1.334136
2023-03-22 16:01:32,83,16.38,1.334474
2023-03-22 16:01:36,83,16.38,1.334474
2023-03-22 16:01:40,83,16.38,1.334474
2023-03-22 16:01:44,83,16.38,1.334499
2023-03-22 16:01:48,83,16.38,1.334499
2023-03-22 16:01:52,82,16.38,1.335065
2023-03-22 16:01:56,83,16.38,1.335208
2023-03-22 16:02:00,82,16.38,1.335208
2023-03-22 16:02:04,83,16.38,1.334822
2023-03-22 16:02:08,82,16.38,1.334959
2023-03-22 16:02:12,83,16.38,1.334822
2023-03-22 16:02:16,83,16.38,1.334822
2023-03-22 16:02:20,83,16.38,1.334321
2023-03-22 16:02:24,83,16.38,1.334321
2023-03-22 16:02:28,83,16.38,1.334030
2023-03-22 16:02:32,83,16.38,1.334321
2023-03-22 16:02:36,83,16.38,1.334030
2023-03-22 16:02:40,83,16.38,1.334030
2023-03-22 16:02:44,83,16.38,1.334030
2023-03-22 16:02:48,83,16.38,1.334168
2023-03-22 16:02:52,83,16.38,1.334168
2023-03-22 16:02:56,83,16.38,1.334168
2023-03-22 16:03:00,83,16.38,1.334168
2023-03-22 16:03:04,83,16.38,1.334247
2023-03-22 16:03:08,83,16.38,1.335081
2023-03-22 16:03:12,83,16.38,1.334870
2023-03-22 16:03:16,83,16.38,1.334870
2023-03-22 16:03:20,83,16.38,1.334870
2023-03-22 16:03:24,83,16.38,1.334844
2023-03-22 16:03:28,82,16.38,1.334844
2023-03-22 16:03:32,83,16.38,1.333478
2023-03-22 16:03:36,83,16.38,1.333478
2023-03-22 16:03:40,83,16.38,1.333545
2023-03-22 16:03:44,83,16.38,1.334244
2023-03-22 16:03:48,83,16.38,1.334244
2023-03-22 16:03:52,83,16.38,1.334244
2023-03-22 16:03:56,83,16.38,1.334264
2023-03-22 16:04:00,83,16.38,1.334264
2023-03-22 16:04:04,83,16.38,1.334113
2023-03-22 16:04:08,82,16.38,1.334113
2023-03-22 16:04:12,83,16.38,1.334264
2023-03-22 16:04:16,83,16.38,1.334436
2023-03-22 16:04:20,83,16.38,1.334522
2023-03-22 16:04:24,82,16.38,1.334522
2023-03-22 16:04:28,83,16.38,1.334535
2023-03-22 16:04:32,83,16.38,1.334535
2023-03-22 16:04:36,83,16.38,1.334535
2023-03-22 16:04:40,82,16.38,1.334429
2023-03-22 16:04:44,83,16.38,1.334429
2023-03-22 16:04:48,83,16.38,1.334429
2023-03-22 16:04:52,83,16.38,1.334407
2023-03-22 16:04:56,83,16.38,1.334407
2023-03-22 16:05:00,83,16.38,1.334407
2023-03-22 16:05:04,83,16.38,1.334407
2023-03-22 16:05:08,83,16.38,1.334072
2023-03-22 16:05:12,83,16.38,1.334072
2023-03-22 16:05:16,82,16.38,1.334072
2023-03-22 16:05:20,82,16.38,1.334072
2023-03-22 16:05:24,83,16.38,1.333838
2023-03-22 16:05:28,83,16.38,1.334209
2023-03-22 16:05:32,83,16.38,1.333657
2023-03-22 16:05:36,83,16.38,1.333564
2023-03-22 16:05:40,83,16.38,1.333564
2023-03-22 16:05:44,82,16.38,1.334008
2023-03-22 16:05:48,82,16.38,1.334008
2023-03-22 16:05:52,83,16.38,1.334206
2023-03-22 16:05:56,83,16.38,1.334206
2023-03-22 16:06:00,82,16.38,1.334206
2023-03-22 16:06:04,83,16.38,1.334369
2023-03-22 16:06:08,83,16.38,1.334832
2023-03-22 16:06:12,83,16.38,1.334068
2023-03-22 16:06:16,83,16.38,1.334790
2023-03-22 16:06:20,83,16.38,1.334790
2023-03-22 16:06:24,83,16.38,1.334295
2023-03-22 16:06:28,83,16.38,1.334068
2023-03-22 16:06:32,83,16.38,1.333864
2023-03-22 16:06:36,82,16.38,1.333864
2023-03-22 16:06:40,83,16.38,1.334295
2023-03-22 16:06:44,83,16.38,1.333864
2023-03-22 16:06:48,83,16.38,1.334436
2023-03-22 16:06:52,83,16.38,1.334436
2023-03-22 16:06:56,83,16.38,1.333979
2023-03-22 16:07:00,83,16.38,1.333979
2023-03-22 16:07:04,83,16.38,1.333979
2023-03-22 16:07:08,82,16.38,1.333979
2023-03-22 16:07:12,83,16.38,1.333976
2023-03-22 16:07:16,83,16.38,1.333976
2023-03-22 16:07:20,83,16.38,1.333976
2023-03-22 16:07:24,83,16.38,1.334407
2023-03-22 16:07:28,83,16.38,1.333644
2023-03-22 16:07:32,83,16.38,1.334398
2023-03-22 16:07:36,82,16.38,1.334398
2023-03-22 16:07:40,83,16.38,1.334398
2023-03-22 16:07:44,83,16.38,1.334359
2023-03-22 16:07:48,82,16.38,1.334398
