time_test,seconds_test,CO_test,ChipTemp_test,PM_test,Flow_test,FlueTemp_test,TC_test,F1Flow_test,DilFlow_test,CO2_test,PM_RH_test,datenumbers_test,phase_test,COconc_test,CO2conc_test,PMconc_test,Cconc_test,MCE_test,CER_CO_test,CER_CO2_test,CER_PM_test,EFmass_CO_test,EFmass_CO2_test,EFmass_PM_test,EFmass_dry_CO_test,EFmass_dry_CO2_test,EFmass_dry_PM_test,EFenergy_CO_test,EFenergy_CO2_test,EFenergy_PM_test,ER_CO_test,ER_CO2_test,ER_PM_test,ER_PM_heat_test,Realtime_conc_PM_test,PM_flowrate_test
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 12:02:25,3067.0,541.5669865236051,19.48032,1077.9854309012876,15111.0,19.98336,360.8,2774.2660000000005,2689.944,8317.005364806868,54.0,19513.50167824074,test,0.6309635378851147,15.225000728080005,23.886980275888437,4.425330549982187,0.9388652070508554,0.14257997922610652,3.440421129251303,5.397784415445438,58.457791482703676,1410.5726629930343,2213.09161033263,71.28998961305327,1720.2105646256516,2698.892207722719,3.7883346175039643,91.41161706908393,143.41854775015423,5.446634034345618,131.42598923615816,206.19834893230487,12.371900935938292,23886.980275888436,13.539119051966827
20230605 12:02:27,3069.0,532.0905265236051,19.48416,959.0770309012876,14623.0,19.97568,360.1,2770.0860000000002,2667.6000000000004,8283.005364806868,54.0,19513.50170138889,test,0.6199227970773917,15.162760774869785,21.252099948180604,4.4036117335620455,0.939638713737997,0.14077598902570396,3.443255602964967,4.826061250179737,57.71815550053862,1411.7347972156367,1978.685112573692,70.38799451285198,1721.6278014824836,2413.0306250898684,3.740402793113772,91.48692872889875,128.227925123044,5.37772061132178,131.53426769910996,184.35820793171052,11.06149247590263,21252.099948180603,12.045671239288259
20230605 12:02:29,3071.0,523.0604215236051,19.476480000000002,783.7902309012876,15011.0,19.99104,359.5,2769.25,2689.944,8238.005364806868,54.0,19513.501724537036,test,0.609402091162786,15.080384366209202,17.36793582666474,4.37662080716979,0.9402971699699236,0.13924032216006973,3.445668480464308,3.9683437500942627,57.0885320856286,1412.7240769903665,1627.0209375386478,69.62016108003486,1722.834240232154,1984.1718750471314,3.69960029068943,91.55103862292569,105.43846397113911,5.319057288033481,131.62644095358755,151.59292522388424,9.095575513433054,17367.93582666474,9.844130489842252
20230605 12:02:31,3073.0,514.6483465236051,19.49952,725.5190309012876,14626.0,19.98336,358.90000000000003,2766.742,2626.56,8193.005364806868,54.0,19513.501747685186,test,0.5996014335617275,14.998007957548618,16.07670965129001,4.349938619808082,0.940897012721815,0.13784135500932235,3.4478665720139117,3.6958474719809518,56.51495555382217,1413.625294525704,1515.2974635121902,68.92067750466117,1723.9332860069558,1847.923735990476,3.662429884895481,91.60944167751305,98.1982673522254,5.265615969430756,131.7104092660369,141.1834167454827,8.471005004728962,16076.70965129001,9.112264648722906
20230605 12:02:33,3075.0,506.3736115236051,19.49184,608.0978309012876,14715.0,19.97952,358.40000000000003,2770.922,2645.2560000000003,8205.005364806868,54.0,19513.501770833333,test,0.5899607866970128,15.019974999858107,13.47478405195601,4.351799588862402,0.9418721636494678,0.1355670854436644,3.4514399602175745,3.096370542072328,55.5825050319024,1415.0903836892057,1269.5119222496546,67.78354272183219,1725.7199801087872,1548.185271036164,3.6020027886658283,91.70438621535907,82.27023020216801,5.178737614651749,131.84691467102883,118.28306659136034,7.0969839954816205,13474.78405195601,7.637495546606549
20230605 12:02:35,3077.0,497.03449152360514,19.5072,719.4350309012876,14930.0,19.99104,358.0,2765.9060000000004,2673.5280000000002,8193.005364806868,54.0,19513.501793981482,test,0.5790800566256336,14.998007957548618,15.941894853397056,4.341139557437411,0.9428041183077511,0.13339355921730986,3.4548550580120008,3.6722834275356973,54.69135927909704,1416.4905737849206,1505.6362052896359,66.69677960865494,1727.4275290060004,1836.1417137678486,3.544252432058651,91.79512499416244,97.5721732415032,5.095707711131902,131.9773732948742,140.28325721986778,8.416995433192067,15941.894853397056,9.035851741877499
20230605 12:02:37,3079.0,487.9700515236051,19.49952,661.1638309012876,14603.0,19.99104,357.20000000000005,2768.8320000000003,2645.712,8159.005364806867,54.0,19513.50181712963,test,0.5685193480269418,14.935768004338398,14.650668678022326,4.319626567037637,0.9435675449473309,0.1316130779371578,3.457652593932725,3.3916516742023908,53.9613619542347,1417.6375635124175,1390.5771864229803,65.80653896857889,1728.8262969663626,1695.8258371011955,3.496945237135292,91.86945522081638,90.11581792644547,5.027692341858963,132.08424071371397,129.5629690902185,7.77377814541311,14650.668678022326,8.303985900758157
20230605 12:02:39,3081.0,477.94423152360514,19.49568,671.3714309012876,15155.0,19.99104,356.70000000000005,2765.9060000000004,2595.552,8193.005364806868,54.0,19513.50184027778,test,0.5568385642738436,14.998007957548618,14.876857950042725,4.331602951827094,0.9448798281879219,0.1285525405875361,3.4624613853913773,3.4344925228586765,52.7065416408898,1419.6091680104648,1408.1419343720574,64.27627029376805,1731.2306926956887,1717.2462614293381,3.415627090978537,91.99722428944753,91.2540946388476,4.910778123030244,132.2679392060614,131.19951319422304,7.871970791653383,14876.857950042724,8.432189777798781
20230605 12:02:41,3083.0,468.2617615236051,19.51104,637.9094309012876,14619.0,19.994880000000002,356.20000000000005,2770.0860000000002,2651.64,8138.005364806867,54.0,19513.501863425925,test,0.5455578073616048,14.897325680296792,14.135376561631482,4.299290599544244,0.9455906080243569,0.12689484340031304,3.465065999929388,3.2878392921683255,52.02688579412835,1420.6770599710492,1348.0141097890134,63.44742170015652,1732.532999964694,1643.9196460841627,3.3715822561161524,92.06642861584143,87.35753417076103,4.84745317399059,132.36743692142144,125.5972787019729,7.535836722118374,14135.376561631481,8.011918790149043
20230605 12:02:43,3085.0,459.3689965236051,19.51488,642.9794309012876,14938.0,19.998720000000002,355.70000000000005,2770.922,2627.9280000000003,8149.005364806867,54.0,19513.501886574075,test,0.5351971121833429,14.917462135747156,14.247722226542278,4.300343276098845,0.946636963351974,0.12445450928486324,3.468900312832671,3.3131592786395943,51.026348806793926,1422.249128261395,1358.3953042422336,62.22725464243162,1734.4501564163354,1656.579639319797,3.3067428427706513,92.1683058947181,88.03028347107987,4.754231061597758,132.51390979419577,126.5645161837857,7.593870971027142,14247.722226542277,8.075596212520217
20230605 12:02:45,3087.0,451.71229152360513,19.50336,611.4102309012876,14417.0,20.01408,355.0,2777.1920000000005,2647.536,8127.005364806867,54.0,19513.50190972222,test,0.5262765136321754,14.877189224846425,13.54818321969773,4.285528166232005,0.9473450101029639,0.12280318626277918,3.471494912125849,3.161380043293425,50.349306367739466,1423.3129139715982,1296.1658177503043,61.40159313138959,1735.7474560629244,1580.6900216467125,3.262867368786175,92.23724411714069,83.99752561404344,4.691149609190487,132.6130249216661,120.76646547967935,7.245987928780762,13548.18321969773,7.679098129222381
20230605 12:02:47,3089.0,445.0169665236051,19.5264,661.2990309012876,14699.0,19.994880000000002,354.5,2773.4300000000003,2668.968,8093.005364806867,54.0,19513.50193287037,test,0.5184759902354145,14.814949271636207,14.653664562419946,4.265198675449339,0.947878214737082,0.12155963407280036,3.473448811871689,3.4356346978083456,49.839449969848154,1424.1140128673926,1408.6102261014216,60.77981703640018,1736.7244059358445,1717.8173489041728,3.229826321680264,92.2891590219294,91.2844421036499,4.643645228013081,132.68766497220585,131.2431449087724,7.874588694526344,14653.664562419946,8.305683965354719
20230605 12:02:49,3091.0,439.59203652360515,19.53408,644.3314309012876,14498.0,20.01024,354.1,2773.848,2626.1040000000003,8115.005364806867,54.0,19513.501956018517,test,0.5121555661498339,14.855222182536936,14.277681070518488,4.27347880916954,0.9486133577185951,0.11984511659468378,3.4761427038464086,3.3409972783492172,49.136497803820355,1425.2185085770277,1369.8088841231793,59.92255829734189,1738.0713519232042,1670.4986391746086,3.184271777838141,92.36073544015473,88.76993611063308,4.578149712447173,132.7905731350068,127.62794316343262,7.657676589805957,14277.681070518489,8.092576858485863
20230605 12:02:51,3093.0,435.12848652360515,19.522560000000002,663.3270309012876,14696.0,20.0256,353.8,2772.594,2666.688,8115.005364806867,54.0,19513.501979166667,test,0.50695521721866,14.855222182536936,14.698602828384264,4.271249027282235,0.9491085760656371,0.11869015690270626,3.477957404883322,3.4412891251477506,48.66296433010957,1425.962536002162,1410.9285413105779,59.34507845135313,1738.978702441661,1720.6445625738754,3.1535846238163154,92.40895185031184,91.43467962611481,4.534029613673374,132.85989571790702,131.4591471592896,7.887548829557377,14698.602828384264,8.33115493430319
20230605 12:02:53,3095.0,431.3173015236051,19.522560000000002,729.5750309012876,14952.0,20.01408,353.5,2773.012,2624.28,8093.005364806867,54.0,19513.502002314814,test,0.5025149192851192,14.814949271636207,16.166586183218644,4.25835496027215,0.9494015749512591,0.11800681811950302,3.4790310835641063,3.796439313782673,48.38279542899624,1426.4027442612837,1556.540118650896,59.00340905975151,1739.515541782053,1898.2196568913366,3.1354283863000605,92.4374793766628,100.87098170247526,4.507925694358861,132.9009108371156,145.02608071631911,8.701564842979147,16166.586183218646,9.163206586619845
20230605 12:02:55,3097.0,427.4717815236051,19.50336,769.0534309012876,15004.0,20.01408,353.3,2771.34,2606.04,8127.005364806867,54.0,19513.502025462964,test,0.49803461866749243,14.877189224846425,17.041384427324033,4.273418735367105,0.9500294671186336,0.11654243347269574,3.4813319606903463,3.987763774770858,47.78239772380525,1427.3461038830421,1634.9831476560519,58.271216736347874,1740.6659803451732,1993.8818873854289,3.096519844715524,92.49861343289754,105.95445192508922,4.451985391239408,132.9888056154193,152.33478090324041,9.140086854194426,17041.384427324032,9.65904144881671
20230605 12:02:57,3099.0,424.1412865236051,19.53024,772.1630309012877,14945.0,20.0064,353.0,2771.34,2601.48,8160.005364806867,54.0,19513.50204861111,test,0.494154358311155,14.93759859119752,17.11028976846932,4.288240239518351,0.9505901630352662,0.11523476547728533,3.4833866007645344,3.9900492539548393,47.24625384568699,1428.1885063134591,1635.9201941214842,57.61738273864266,1741.6933003822671,1995.0246269774198,3.0617752475981455,92.55320499730796,106.01517685966458,4.4020317508469375,133.06729400219803,152.42208747163681,9.14532524829821,17110.28976846932,9.698096934537697
