time,Battery level,Temperature,firewood,seconds
yyyymmdd hhmmss,%,C,kg,s
2023-03-22 00:48:56,83.0,23.34,1.410755,19372
2023-03-22 00:49:00,83.0,23.33,1.410703,19376
2023-03-22 00:49:04,83.0,23.34,1.410703,19380
2023-03-22 00:49:08,83.0,23.33,1.410755,19384
2023-03-22 00:49:12,83.0,23.33,1.411057,19388
2023-03-22 00:49:16,83.0,23.32,1.411057,19392
2023-03-22 00:49:20,83.0,23.33,1.411057,19396
2023-03-22 00:49:24,83.0,23.33,1.411479,19400
2023-03-22 00:49:28,83.0,23.31,1.411594,19404
2023-03-22 00:49:32,83.0,23.32,1.411594,19408
2023-03-22 00:49:36,83.0,23.32,1.410914,19412
2023-03-22 00:49:40,83.0,23.31,1.411176,19416
2023-03-22 00:49:44,83.0,23.31,1.410569,19420
2023-03-22 00:49:48,83.0,23.31,1.410569,19424
2023-03-22 00:49:52,83.0,23.31,1.410869,19428
2023-03-22 00:49:56,83.0,23.31,1.410869,19432
2023-03-22 00:50:00,83.0,23.31,1.410573,19436
2023-03-22 00:50:04,83.0,23.31,1.410869,19440
2023-03-22 00:50:08,83.0,23.31,1.41108,19444
2023-03-22 00:50:12,83.0,23.31,1.41092,19448
2023-03-22 00:50:16,83.0,23.31,1.41108,19452
2023-03-22 00:50:20,83.0,23.32,1.411396,19456
2023-03-22 00:50:24,83.0,23.31,1.41108,19460
2023-03-22 00:50:28,83.0,23.31,1.41092,19464
2023-03-22 00:50:32,83.0,23.31,1.410898,19468
2023-03-22 00:50:36,83.0,23.31,1.410898,19472
2023-03-22 00:50:40,83.0,23.31,1.410898,19476
2023-03-22 00:50:44,83.0,23.31,1.410898,19480
2023-03-22 00:50:48,83.0,23.31,1.41099,19484
2023-03-22 00:50:52,83.0,23.31,1.41099,19488
2023-03-22 00:50:56,83.0,23.31,1.410936,19492
2023-03-22 00:51:00,83.0,23.31,1.410936,19496
2023-03-22 00:51:04,83.0,23.31,1.411013,19500
2023-03-22 00:51:08,83.0,23.31,1.411013,19504
2023-03-22 00:51:12,83.0,23.31,1.411023,19508
2023-03-22 00:51:16,83.0,23.31,1.411061,19512
2023-03-22 00:51:20,83.0,23.31,1.411023,19516
