time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text
20230605 16:58:13,20815.0,6.146996523605149,32.34432,-1.5865690987124461,10463.0,27.5904,46.400000000000006,2720.3440000000005,-8.664,603.005364806867,36.0,19513.707094907408,postbkg
20230605 16:58:15,20817.0,5.66630652360515,32.34432,-1.5189690987124462,10466.0,27.59808,46.300000000000004,2714.074,-4.56,583.005364806867,36.0,19513.707118055554,postbkg
20230605 16:58:17,20819.0,5.0826115236051495,32.352000000000004,-1.5865690987124461,10465.0,27.62496,46.300000000000004,2714.074,-1.368,572.005364806867,36.0,19513.707141203704,postbkg
20230605 16:58:19,20821.0,4.43024652360515,32.33664,-1.4513690987124461,10165.0,27.60192,46.300000000000004,2712.82,-7.752,542.005364806867,36.0,19513.70716435185,postbkg
20230605 16:58:21,20823.0,4.01822652360515,32.3328,-1.5865690987124461,10460.0,27.61344,46.300000000000004,2712.82,-10.032000000000002,515.005364806867,36.0,19513.7071875,postbkg
20230605 16:58:23,20825.0,3.50320152360515,32.35968,-1.5189690987124462,10550.0,27.61728,46.300000000000004,2710.7300000000005,-5.928,506.00536480686696,36.0,19513.707210648146,postbkg
20230605 16:58:25,20827.0,2.91950652360515,32.309760000000004,-1.5865690987124461,10240.0,27.59808,46.2,2718.672,-5.016000000000001,500.00536480686696,36.0,19513.707233796296,postbkg
20230605 16:58:27,20829.0,2.37014652360515,32.3328,-1.5865690987124461,10489.0,27.61344,46.2,2711.148,-4.56,472.00536480686696,36.0,19513.707256944443,postbkg
20230605 16:58:29,20831.0,2.12980152360515,32.3328,-1.4513690987124461,10340.0,27.62112,46.2,2710.312,-5.016000000000001,463.00536480686696,36.0,19513.707280092593,postbkg
20230605 16:58:31,20833.0,1.6491115236051501,32.33664,-1.5189690987124462,10494.0,27.62112,46.2,2709.8940000000002,-5.928,438.00536480686696,36.0,19513.707303240742,postbkg
20230605 16:58:33,20835.0,1.37443152360515,32.32896,-1.5865690987124461,10559.0,27.59808,46.2,2711.5660000000003,-6.384,444.00536480686696,36.0,19513.70732638889,postbkg
20230605 16:58:35,20837.0,0.8937415236051501,32.32512,-1.5865690987124461,10458.0,27.6096,46.2,2714.492,-5.472,406.00536480686696,36.0,19513.70734953704,postbkg
20230605 16:58:37,20839.0,0.4817215236051502,32.302080000000004,-1.5189690987124462,10567.0,27.57888,46.2,2714.074,-3.648,390.00536480686696,36.0,19513.707372685185,postbkg
20230605 16:58:39,20841.0,0.17270652360515015,32.3136,-1.5189690987124462,10378.0,27.582720000000002,46.1,2708.64,-5.928,387.00536480686696,36.0,19513.707395833335,postbkg
20230605 16:58:41,20843.0,-0.2736484763948497,32.3328,-1.4513690987124461,10463.0,27.62112,46.2,2715.328,-3.648,365.00536480686696,36.0,19513.70741898148,postbkg
20230605 16:58:43,20845.0,-0.3079834763948497,32.29056,-1.5865690987124461,10564.0,27.59808,46.1,2714.492,-5.928,349.00536480686696,36.0,19513.70744212963,postbkg
20230605 16:58:45,20847.0,-0.6169984763948497,32.2752,-1.4513690987124461,10477.0,27.59424,46.1,2715.328,-5.472,375.00536480686696,36.0,19513.707465277777,postbkg
20230605 16:58:47,20849.0,-0.8230084763948498,32.28672,-1.5189690987124462,10480.0,27.586560000000002,46.1,2713.6560000000004,-5.928,331.00536480686696,36.0,19513.707488425927,postbkg
20230605 16:58:49,20851.0,-1.2006934763948498,32.29056,-1.5865690987124461,10459.0,27.586560000000002,46.1,2709.8940000000002,-7.296,334.00536480686696,36.0,19513.707511574074,postbkg
20230605 16:58:51,20853.0,-1.4410384763948498,32.3136,-1.5189690987124462,10339.0,27.57504,46.1,2711.5660000000003,-7.296,340.00536480686696,36.0,19513.707534722223,postbkg
20230605 16:58:53,20855.0,-1.5783784763948498,32.30592,-1.5189690987124462,10467.0,27.60576,46.1,2711.148,-6.384,337.00536480686696,36.0,19513.70755787037,postbkg
20230605 16:58:55,20857.0,-1.9903984763948495,32.28672,-1.6541690987124462,10425.0,27.59424,46.1,2710.312,-5.016000000000001,316.00536480686696,36.0,19513.70758101852,postbkg
20230605 16:58:57,20859.0,-2.0934034763948492,32.28288,-1.5865690987124461,10466.0,27.582720000000002,46.0,2714.492,-7.296,285.00536480686696,36.0,19513.707604166666,postbkg
20230605 16:58:59,20861.0,-2.3337484763948497,32.2752,-1.5189690987124462,10353.0,27.5904,46.0,2714.492,-4.56,301.00536480686696,36.0,19513.707627314816,postbkg
20230605 16:59:01,20863.0,-2.5397584763948498,32.28672,-1.5189690987124462,10475.0,27.56352,46.0,2711.9840000000004,-3.648,280.00536480686696,36.0,19513.707650462962,postbkg
20230605 16:59:03,20865.0,-2.4710884763948497,32.28672,-1.5865690987124461,10504.0,27.56352,46.0,2708.222,-2.736,261.00536480686696,36.0,19513.707673611112,postbkg
20230605 16:59:05,20867.0,-2.81443847639485,32.28672,-1.6541690987124462,10472.0,27.5712,46.0,2712.402,-11.4,266.00536480686696,36.0,19513.70769675926,postbkg
20230605 16:59:07,20869.0,-3.02044847639485,32.256,-1.5865690987124461,10482.0,27.5712,45.900000000000006,2714.074,-6.840000000000001,255.00536480686696,36.0,19513.70771990741,postbkg
20230605 16:59:09,20871.0,-3.0547834763948494,32.26752,-1.5865690987124461,10478.0,27.552,45.900000000000006,2711.148,-2.736,225.00536480686696,36.0,19513.707743055555,postbkg
20230605 16:59:11,20873.0,-3.15778847639485,32.27136,-1.6541690987124462,10472.0,27.59424,46.0,2710.7300000000005,-6.840000000000001,212.00536480686696,36.0,19513.707766203705,postbkg
20230605 16:59:13,20875.0,-3.22645847639485,32.26752,-1.5189690987124462,10341.0,27.57888,46.0,2712.82,-7.296,177.00536480686696,36.0,19513.70778935185,postbkg
20230605 16:59:15,20877.0,-3.3981334763948494,32.259840000000004,-1.5189690987124462,10258.0,27.56736,46.1,2708.64,-10.488000000000001,177.00536480686696,36.0,19513.7078125,postbkg
20230605 16:59:17,20879.0,-3.56980847639485,32.24064,-1.5865690987124461,10460.0,27.56352,46.1,2714.9100000000003,-5.928,159.00536480686696,36.0,19513.707835648147,postbkg
